protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	
NP_055726.3	0.199152360963996	0.05580623817311141	-0.0510323043278248	0.08940522165501484	-0.05486813943849932	-0.017314801953631217	-0.02409748060883895	-0.02144751847994155	-0.017967826074026153	0.042931269850573855	0.006765567380343886	0.013714315095597179	-0.01767470717477761	0.012984258241322615	-0.013934648585901217	0.023000152274858986	0.028191324957011175	0.018449304576807737	0.01835489700169472	-0.00191917838669721	
NP_005148.2	0.15824395176883266	0.10010198474536186	-0.013087076060660306	0.002640430777771023	0.023711531916007153	0.00021913251900342035	-0.004867620987431607	-0.0159959962970635	-0.022130544692695098	-0.006949082935963643	-0.012251294077984205	0.013641869611100433	0.0018364373748926551	-0.009672578806734096	0.005267396019335277	-0.0067293345991269755	-0.021388186614545206	0.0047790644914902265	-0.01187534447752035	0.0027509156125446253	
NP_005149.3	0.1489709688368052	0.01086960841565272	-0.0369449930517661	-0.0027860788775992034	0.0501420877954503	0.006164224294188026	-0.027883443408331113	0.0016859515354334651	0.0037386845017543897	0.007694039065654544	-0.004697990125074258	0.015456304021829107	0.010740018598273835	-0.013296740846158261	-0.000781985332203568	-0.00715203094414864	0.0068402228743059575	0.022946159218517472	-0.006778253219862181	0.004956998439601717	
NP_001096.1	0.019865975589754503	-0.0894754383411246	-0.06028806715511716	0.04822401000210824	0.0033324960232514506	0.01532395934294152	0.06372447071583091	-0.0258050830477939	0.01825750698322601	-0.006039848767964196	0.010622167035837848	-0.01003032316348161	-0.044453835723186896	-0.03531147186309697	-0.01123459824932475	0.0026348206227176894	0.0040346442336567515	0.0060076551773796845	0.020973978496830494	-0.02352123310905092	
NP_004293.1	-0.021701632899852847	-0.06599162108323765	-0.009219540372498187	0.002411205062287782	0.01189639189724023	0.0756082348492545	0.021291383933873868	-0.022163415099458152	0.002122121230540601	-0.006321919986928433	0.0005494096949441076	-0.006214981015765796	-0.026704496226029162	-0.008497021329106642	0.00884470553345128	-0.005471310623883495	-0.0026126628489524443	0.009508808527592156	-0.00429393686592176	-0.0006980790431423881	
NP_001607.1	-0.009632313872365973	-0.061153767416339884	-0.068105467980131	0.002054525727367531	0.04180704646933476	0.04457263145429323	0.009876837445239345	0.03191048839132807	0.01928208428143496	-0.004180547877967534	0.030834939787281076	0.0243893810727042	0.014306354415753848	0.010690971821017303	0.00527876429421647	-0.011913700756501736	-0.016078574472991734	0.008959729968600621	-5.015358230553826e-05	0.002207728009776277	
NP_001097.2	0.01884891249254689	-0.04866637699153978	-0.007401736074171195	0.02235847827215619	0.013243760844649658	0.012658968579199228	0.04142612451219966	0.044473079906452426	0.0174479671247374	0.0038537334315527395	0.016545613199411894	0.005610227528728524	0.0008806579282774219	0.016404987842286427	-0.0011732275032705112	-0.010028936448300009	-0.013915067595258786	0.010329991004269738	0.008048213688096226	0.011125335909731188	
NP_000011.1	0.11335402437802827	-0.014744191920753949	-0.04621506998121732	0.008031411903077176	-0.022861864404289063	0.055164040858999314	0.10261798549132353	-0.07480989412252732	0.017595216809467917	-0.010678683081191773	0.01786568069936327	0.03508633849011949	-0.036553061212588125	-0.027400942695569783	0.009149910939839601	-0.0039454607952722305	-0.008229998767544567	-0.007270530386161644	0.0021014361283567644	0.011931435745704107	
NP_064632.2	0.03581201154186909	-0.02952194839102878	0.0419272049365895	-0.03229107429013507	0.00648332963514686	0.010126019269645861	0.04469210293455754	-0.007610073394642827	0.00777730657865727	0.014740191112037514	-0.015131421889159738	-0.00023276260864924525	0.02452223847439726	0.021116779157371594	0.004027346189205916	0.02873394163966309	0.008838326560548558	0.002436353741997534	0.0076005455745418666	-0.0006162402699184822	
NP_079152.3	0.044953458174811896	-0.05774579017368688	0.07233819640787933	0.005376979250437494	-0.0012766394293990317	0.005979624323219221	0.0766905392333171	1.4099501345979032e-05	0.019849796716303117	0.0025797938922868108	-0.016779721904788797	0.013674785520888482	-0.01234569783130825	0.008440165062590788	-0.011819554497770132	0.04554039611675486	-0.005021216394570077	0.007078700644060996	-0.011979003069662363	-0.004153412233830601	
