protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	pc.41	pc.42	pc.43	pc.44	pc.45	pc.46	pc.47	pc.48	pc.49	pc.50	pc.51	pc.52	pc.53	pc.54	pc.55	pc.56	pc.57	pc.58	pc.59	pc.60	
NP_055726.3	-4.464379756867529	14.10931921577179	35.193788406267224	-6.058192505363305	7.081098737632057	0.4219877632994102	10.111692837424126	-4.562037685290463	1.1492645896029994	-2.368554043282126	-3.8939092356814036	-0.7196200666832957	-1.037083111291375	1.0500299910387272	-1.6027687196085338	-2.5385729297675472	-1.2703408968666878	-4.072690235001184	-2.099218295782212	2.0902489829630087	2.631809859458051	0.9003975236049259	1.335793868454929	-1.1828348946265725	-2.3146693508981815	-0.7337092984817456	-3.6898171044396793	1.8520188903787111	-2.076447171753324	0.7506447864032505	-0.19962145836670178	-0.1481369047558742	-0.8270279277292638	3.1303236113102595	1.1057254641345033	-3.855400597171096	1.291465335308016	1.7087693280472993	-1.4917606336745999	-1.1204721837778309	1.0246361196551066	-0.6480630256211806	-1.352454797165468	3.4958574145612515	-0.5694013443855037	-1.299872277205163	-0.5936781595568896	-0.5293272884387916	0.19405175100255984	0.15106202551155326	1.1145760106474398	-1.8705869117484115	0.1768383492771203	-0.5300594527226407	-2.1622498519128794	0.12461671233141089	2.7702260696420025	-1.2309010069393274	-2.228940005657608	1.290002260108448	
NP_005148.2	2.257458250580745	3.7001730401158923	-2.3672432235504868	4.125526171333005	4.301196441211269	10.3760234796002	2.8705830859288644	-0.7521041165318216	-3.574366986577479	0.7254711102701915	-0.045164954920529035	4.278285072559332	-1.166722492561165	-2.8447466876937564	0.5034911217463277	1.1229299388770668	2.5488374292845504	4.790416444113382	-2.1173210274056937	1.4015966171266014	1.199262353478648	0.0680422129591956	0.825149502636305	2.3243145310035143	0.8484534062022874	-1.1581851828272445	0.3859489188710656	1.4977087363501924	2.0910098071155234	-2.8913877305093845	0.36092022556723774	-1.0668646072654646	0.6903379901790293	-0.7816216634513419	-0.24428675232672145	-0.815697530791417	-1.5488152489782736	-1.6270383689931442	-0.06016161214853846	-0.30466865721716513	-0.3163631805177298	-1.1426182558911562	-0.8647332360887724	1.1167984673943852	-0.46695434501127325	-0.6752680359516694	0.19274742220340865	-3.883835244977909	0.4175748296529145	1.1435825082284414	2.177679552901965	1.851490290011244	1.2020365716271815	-2.548277888832725	-0.22973986112467404	2.3215341512760723	-2.024994188469786	1.1975319418324601	0.7757223799523492	0.46613957877893536	
NP_005149.3	0.7483283151825664	3.025469913831685	-0.6224443945723493	1.9896498973832317	0.7982750193736156	9.238508929956584	1.5196985789874229	1.0661568404663528	-5.660380662004273	0.12112450969648866	-0.9226123158655142	5.35398982069809	0.6448347328856999	-2.1491523154393133	-0.9966036442096171	1.7971499834913485	2.2324121134271797	2.2581896442983975	-2.9376962479896047	-0.8972143695167335	0.13249441912054738	0.45080606132326234	1.1754993648307446	2.5386976551818683	1.0428689858799807	-1.5123481169565491	-0.09354239465733001	1.032414754592159	0.5374070113867602	-1.4915077297266215	-0.678785142251899	-0.6330731646579871	-0.021377815523702853	0.5385050881123732	1.1218419008332525	-0.07610302781351755	-0.14719773137389303	-1.3967055002481774	0.5268139227625919	1.1325506289811984	-1.429714502366133	-1.254250393390299	-1.2928899520361872	2.2090872820265486	0.30697087915250293	-2.2028870646955747	-1.1077189268293242	-2.1027625153402023	-1.0866789876168734	-0.07954916190873382	1.0158667417886782	1.9076343824055755	0.24886242084126256	-1.5943421606390185	-1.0578175560756697	0.8619482271330974	-1.9776187061326949	2.0597825210901046	0.6229130305286161	-0.6269246078557958	
NP_001096.1	-6.89746041796936	-5.296828234691803	1.9161259469281398	-3.852835695830336	-0.4844454907329217	0.42378306230535007	-4.574522414324332	-0.8170756321299845	1.3971255434599423	-1.17245235706093	-0.850177858761474	-2.6111432804587937	-0.20309452991757415	-0.182032220254494	-2.391617692899812	3.1767293267728762	2.5703444307963683	-3.300001252952936	-2.384691160704153	0.1172205627677712	-0.3630115662801339	-1.6624008100286458	-2.68049712612036	-1.401346744009968	-5.95766141363317	-1.2893033865174703	-1.5166068290997494	-0.38625046060287493	-2.612065104300745	0.4288033526976837	-0.41441876366966635	1.4262338603505043	-0.10885469026576379	-0.8275176281625578	-1.9161376973079185	2.167787183653567	-0.8035665435439082	-3.1588760066302712	1.0338428801326578	-2.81241158282532	1.7097440657127303	-1.5008174913806038	-1.617199450949654	1.3134398669141671	-3.3209166694592254	-2.140956851686114	-2.3539925394725403	-2.0987355264831855	0.00743444794510784	-1.6301885187210223	-0.9612207926704647	0.40851915095385477	-0.2799343703207712	-0.011514072023692416	-2.7195498179679203	2.2622582126822524	1.0042592711069758	-1.107898924593949	-1.230357691907199	-1.0288487004524818	
NP_004293.1	-5.85791958074625	-2.9296064171300715	-2.9051060477971844	-3.0460847735141154	0.5231380661658448	-2.100702310128962	-4.157254951875577	1.7462764152157821	0.48091177956044984	-0.020579764841812467	2.61003699160959	-0.22803480221301678	2.8167109039212357	-1.4251986028653423	-1.2287573917990382	3.684094340529417	6.326552873997907	-0.19807650272042357	-0.36286081085519495	-3.655960265899222	0.5338845721188129	-0.8665326524550985	-4.037127002925584	4.502539368208166	-4.280214146174035	0.787420716248279	-0.2967113489832277	1.8769521050093942	-1.1325317612138572	-1.0752772960265604	0.876053424636675	-1.4443207048634559	-0.89596598521832	0.5362236289221113	-0.9476580952167791	1.5286385702850418	2.273042638326905	0.5897523471239249	1.883660369191374	-0.41911164011191376	-0.536074649948071	1.3862212983606692	-2.4981457224054684	-1.024279777438283	-1.6258064547315265	0.3765187340279794	-3.313971683073557	-2.486725960604754	1.0583413533572632	-0.09581943039890693	1.2125709399926428	-0.12484446153359603	-0.8359074105174636	1.9949312027673591	-4.652379794050292	0.2502814631945048	0.49976938124338766	-2.0540714774991	-3.5486361451702395	-0.49497201400349333	
NP_001607.1	-1.7888619478489551	-3.0961378018162296	-1.5911150417541504	-2.7280531413089997	-1.9942421550209912	1.9742348714179387	-0.657081333733532	-3.0592985457479793	-0.5445350999647709	-2.7915430110384403	0.4370812359365091	-1.098665588846841	2.4346491728721156	-0.19653416807910548	0.33294060548025006	2.654641742683802	-2.1828886422360285	-0.3506949130468564	-0.4280718682720298	-1.267977937928945	4.737258961059076	-1.1236752746824727	-2.8818350221343128	-1.7371168075241976	-2.681195732336814	2.491515091739292	2.4128213051536123	3.0635324426151516	-2.513434012321655	0.965364491176823	1.251446440273916	2.118502130581927	0.8899107812308023	-2.752269633230151	0.5886798781535406	1.830289691612493	-2.611553335865812	-2.277805528254864	5.413060447620338	1.2885525011310732	-2.929749735510401	-2.055053141863843	1.116756854306942	0.6283029303710126	-1.8438136704377648	1.5000780379207779	0.4044851069372917	-1.0857706205071471	-3.464891553048728	2.127539318869254	2.1490688186054197	3.2218422003718503	-3.99211366374822	0.5180226789928032	0.9759308753127501	-0.5899210946091219	-2.4403680619534183	2.8810261243895123	3.737798514831342	0.5442576212038782	
NP_001097.2	-3.850895183797072	2.712032595810117	-5.182927542605413	-2.914958733817403	-0.15563311030610735	0.034215824795404706	-2.005512961177461	-3.677098457055782	-1.7767540456516249	-1.4069526057654742	0.9288666350610317	-1.656523369988049	-1.278249015921705	1.107690622187102	0.7887789859800582	1.0093875424443006	-1.6595327551238799	0.9575541853225173	0.46539665674796754	-0.8467774293370429	2.8664683083860347	0.29770347020809673	-2.035597545592977	-2.072291374128794	-2.066864688404202	-0.7264279885719298	2.1002489945917056	2.7924043575413307	-2.979290838744795	0.5092168292694735	0.929875479684856	2.070565013421722	1.8116904516616625	-2.8198141738574374	1.370014963143277	0.7022316872411554	-1.8183790505112898	-0.16358658528243303	4.869797547370295	0.6234707006346605	-1.4121689012641805	-3.7948478353189627	-0.1966593316226885	0.7649168518789808	-2.466745457378072	2.2364493116176227	-0.31665253599771886	-0.6581864730431514	-3.3791806770555746	-0.5082864263949741	1.882651961237971	4.26676496475036	-3.045016056790735	-0.39405308355492835	-0.019183926533789877	-1.9089333737212488	-1.8906927207977382	2.617555776528955	2.6938855667329746	-1.9173980978280971	
NP_000011.1	-8.761508426887467	-0.06177718351908864	-0.14528547308654483	-1.50206379270816	-1.8692050122128023	-1.7078132509086241	-5.369908796743731	-2.4175042874162087	0.7688745337573142	-1.4083254213036225	0.9186723476251251	-3.7900336446550944	-1.6260433722959673	-3.2501715338116073	-0.3947057072727489	3.5198694571438756	0.9186169559453595	-1.0620476668349934	-2.451629462046131	-0.3017035948183622	-1.6532371259462189	-1.2633191495689504	-3.4115072392579	0.6903123125333847	-1.9715542070240075	0.26477043277738094	0.1390373027336224	1.1922767585311922	-1.1873991591414645	1.5842648030905686	1.9757715432128475	0.31374554416071243	-0.43982994358412797	-1.3903041732135486	2.09962736638626	3.9737246673591975	-0.7386011669039058	-0.7158158777389457	-0.691738627389413	-0.9419671975945816	4.099729891992836	0.6362428890913203	-0.669916172533481	0.9826355490354319	-0.7206653356405738	-2.104843879803181	-3.580123579670755	-4.1856265467849445	-0.4204389288196221	-0.7460714194102004	-0.9223560715643936	-0.8638190105773784	1.3492270555052441	-0.3069500722716557	-0.10221659792174882	-0.45211342022129347	0.2391139005791223	-0.2404842302651475	-0.6053354065216904	-2.4155671850168976	
NP_064632.2	-3.8977861564369003	1.8398114710173068	-0.02960941588477971	0.11089032708632915	-2.1675962980484167	-4.85779580727754	5.9224676538740235	0.20049897941856337	-0.5187185487614533	2.4937053011246704	-2.624145171423726	1.2552442231049263	2.3293397283144057	-0.9074067600765883	3.2922712115942256	2.189315801052322	-1.286327455520707	1.1956781330605053	1.6638590291498956	0.12684229366782332	1.5549592222653528	-0.2650038136478847	1.7874785353767537	0.11516817015006421	-0.0816145691527718	4.60721865415194	1.495698414302091	1.2516338468457557	3.4002852334064935	-0.25194183058304037	0.5398346263145272	0.11044816624355891	-2.414949572380403	-0.6551939172169049	-2.7497330690492654	1.5290521498030598	1.9236193457857378	0.7779413890955965	-1.170854904789719	3.7179701290656433	1.2897002585849222	-2.396535881133414	0.8017986621120432	-1.1130735603383786	-1.5854738054353772	-0.1734207047918786	-2.1310032320171395	-1.9799467398450135	-1.6436303329005748	-0.9425967520087848	-3.0004404299790357	3.405976494802349	3.1835842294049086	0.5821569558165653	5.009374625161836	2.0147939874637153	2.442578879595673	0.3353383519693291	-0.24722802753805967	-0.7120439069770083	
NP_079152.3	-8.202311643813937	7.086882558550136	-2.285281112949785	-0.7377393585692404	-3.1413974489992618	-5.174999753959592	2.1944769773752726	2.133262201396366	-1.8869342719754647	-0.07353669382466371	-3.2130415493634388	-2.1678705447894018	1.336988802402687	0.5586447628689468	1.7181270055836455	4.069152377164448	-1.5604433063672507	1.7957715865653963	3.496763964095578	-1.020486343199292	-0.5181371719275536	1.633394825755114	0.6248316161501133	1.7632993454326116	-0.3552657426422494	-0.36400030251903764	-0.586510397456009	0.9872298642665923	3.1323885358263577	0.029256370356129775	0.39929905453742653	0.6076493753939157	0.6769012674897084	-1.6298041049462695	-1.3337275216090656	1.91513601598504	-0.4819642942344507	1.6310519208099468	-0.8592262980554913	1.0552925288565573	0.9185801494828382	-1.128130958910767	0.6320898586895328	2.087999019697543	-1.1802637255353612	-1.719348091392035	-3.9217865934245344	-2.9084479305943702	-1.2576657956848605	1.9640945964427918	-4.050520187900428	-1.7185361044535712	1.2694664687288468	1.8746410250123677	0.6915721403740895	3.9986638316681065	1.5613404269797273	-0.9110511194170445	2.734988555525177	-3.0187596707980084	
