protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
NP_055726.3	0.11899492814168977	0.016930251196788176	-0.023426128246706184	0.005340975858938758	-0.014491974535068517	-0.0037356721732418447	0.008273443342255325	0.0006500632699197104	0.008473250771679371	0.002583327098007395	
NP_005148.2	0.03236323833377205	0.009612977888311385	-0.00674970715451159	0.004917138037758938	0.0067534202647223885	0.0052037194432102765	-0.008629518717274345	-0.002270979971416434	-0.0009727646823106495	0.0024253199026361793	
NP_005149.3	0.04096137739998992	-0.004945437200743894	-0.0007241385820536109	0.0037782226312274504	0.000381573552743776	0.004609589899350193	-0.010629265589580087	-0.004327685353413385	0.0001247112951107452	-0.0028877879251531804	
NP_001096.1	0.031106840272884274	-0.014187635553707643	-0.016776841363578425	-0.004804555553834407	-0.001338455215753199	0.006719198991351532	0.0025827413508173218	-0.015272997830669046	0.0003955909868112937	-0.0009904028103317262	
NP_004293.1	-0.016867901328957987	-0.053524930429947146	-0.007880928051539369	-0.003310787009689673	0.009384752191489626	0.011973223333001885	-6.308407687054137e-05	0.003008322048618399	0.0005837170503386861	0.007872288590081562	
NP_001607.1	-0.0019480404642610483	-0.029196702074161328	-0.009054003062600312	0.0007817629022371673	-0.011906612657135928	0.012714097850696368	-0.012596267337859627	-0.00493443800271848	0.00922562237243839	0.014131681621364292	
NP_001097.2	-0.0066214335958741126	-0.015461604239073138	0.01608396499983158	0.006713327335718447	-0.011728404989306131	0.0045176507065126745	-0.008341218805175847	-0.004303527312682997	0.001600070837417708	0.0070737179782300475	
NP_000011.1	0.012690628379253482	-0.03825020017515073	-0.05055893699040285	-0.004355930206157606	0.01216408200433603	0.007730996552861135	-0.007240438668459945	0.0025981789238618	0.00570554606624527	-0.01716743160391729	
NP_064632.2	-0.02417151414622316	-0.04145365275858482	-0.01843638276854361	-0.00480022535214814	-0.0009566713297099916	-0.011402294404225305	0.005822095031856377	0.011609292812221736	0.010748142455023483	-0.0030268073136872943	
NP_079152.3	-0.0037365647668317265	-0.05492967837484529	0.0013940558388912511	0.0030142490392615225	-0.00013249241012537846	-0.01559777229193203	-0.017618205984218285	0.01351834179191857	0.007403370024779183	-0.006463019217156586	
