protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
NP_055726.3	15.994411965140417	-26.2977693284829	-5.639857556481852	-3.8851669989150723	-1.4417121205892713	1.8337508909509666	2.69732270269798	-5.661115646854404	0.8993282472736797	-1.947124289967548	
NP_005148.2	18.88881630963348	-6.205438968466563	-6.590701544008254	-1.5470947210068704	5.948028522940328	-4.162287708902328	2.3929874359145846	1.717016864023504	-2.168187640636908	0.6172694751140365	
NP_005149.3	24.928031228605633	-11.353913828674393	0.4503723763993141	1.6241312363144689	-3.9793749997053434	1.1646703188246048	1.7151616593275822	-1.0480655982602207	-0.747845081091474	0.7418243669931464	
NP_001096.1	-12.924278384326518	-4.894737340861519	-5.8359323049378204	-1.795315081820982	-1.3116091179317906	1.8436599577080368	1.8959190200860652	-3.4821769853677456	-0.08116983454183285	-0.2481321962952515	
NP_004293.1	-11.339842529335	2.919156176634813	0.014245616724877378	5.39099086209923	1.7903866648981017	-0.19178084948083385	1.7477719606807043	2.3438979672356663	-2.7587227528972154	0.550332918963896	
NP_001607.1	-9.656539993862456	2.55619811161784	-1.7981169601131373	3.9147729314325557	-5.873991033764681	0.7831900818389903	1.1067530887464214	0.3725062945653213	-0.6185872255463468	-1.9343939393566278	
NP_001097.2	-13.57071087917126	-1.8157241059501414	-3.17029279412104	0.028880080979160647	2.2234100618472135	-1.2082524106924308	-1.4343521687598166	-1.741541063835524	3.459411462684286	-1.713199756428917	
NP_000011.1	-13.658250999494395	-5.429202006444271	-9.80120668054636	-1.3265602643680565	0.4346190797273959	-1.3480849104088741	1.6726826283819307	-2.0764084716138775	0.03557079737248308	-1.684737277655491	
NP_064632.2	-2.418922077589474	6.863338423603928	7.0228968894633175	-1.8887886154001847	-4.475560990972259	-4.773916180048772	3.3455974514331572	-2.0813634028397336	0.8557817536591962	-1.6662252403415931	
NP_079152.3	-10.167943050501473	-2.750131301009508	2.2772384690575573	3.392277797047481	3.4204409382271197	-1.5140117245121294	-1.238053208583209	-0.577109035087589	2.9252494188883027	1.5722537994059562	
NP_005154.2	-17.356995598212308	5.00515505383884	2.6231231291668125	-1.7212434460976496	0.7150688717746749	0.395065097266862	1.238419667943146	2.0409021891572423	1.0304211486951789	2.273802216135805	
NP_001617.1	-14.987321152011317	5.263475732255004	-0.553800325549839	-1.4317294334896278	0.1830705426390296	0.5398804091318524	-2.8047707059352245	-1.4000056474265306	2.897823255298111	-0.7419706979971965	
NP_005456.1	-15.049499148899603	-1.9237794150872756	2.0454979879023805	-0.5170308589756074	1.3513815042126052	-0.20675692656565334	-3.2972424045218647	0.3937374896479946	0.9170278695377195	2.3130546030513357	
NP_004295.2	55.589550930707915	-20.146088617115204	7.63513320458193	4.067639665985163	-6.8004529404817635	0.47028109106542104	-3.5062778075631815	2.2931494168229327	-0.5219229697989815	0.6312147137344124	
BAA36547.1	-12.078663442877104	2.0628697874581388	-5.283783101587843	1.2217297074428044	2.0306352295219523	-6.018580157465446	-0.7982441323816433	-1.3228923555969656	-0.235086546466533	0.23385237247287427	
NP_006243.2	-9.268407545819544	-2.4177041787646987	-1.9403085645214566	1.3823614414707748	1.062274664045255	4.806305241630157	0.36154700933280515	2.7826144321927515	2.5278625340518106	-2.072362540748402	
NP_848605.1	2.0539538982876646	-4.767048667244337	1.6081630483266645	-0.8234341034108636	-0.39746977701308744	3.30507502755873	-4.569580316745024	-0.0019948121221818886	-0.29706687562812645	3.620569593385595	
NP_055655.1	-6.34426243295073	2.0138928847359305	1.482641237599605	-2.348875079105646	1.0493303399117548	-1.1164730113723296	-3.3599768729274664	0.13795641735414524	-0.652461136608102	-0.2557613733349366	
NP_005914.1	28.72347644800167	12.186786915265213	-2.2214696370713556	-1.2659478620441174	1.6504189430508096	-1.3334012660179162	-0.3379707816171922	-3.0408957001996555	0.1005235647325371	0.7096511289966119	
NP_004663.3	29.733614290530028	3.1663041203727738	-7.049543325563756	-0.04364745429572501	-4.430442079473757	-1.925187268892235	-1.0791540168165834	-2.8902516185325187	-3.4676837700009955	-2.4729045779251524	
NP_003591.2	-17.363830531461087	-2.4457519046339042	2.7413961422800246	-1.694596926463966	-4.034114626354476	-0.9860687511024402	-0.061098919094786396	-0.7361099283645378	-0.9015606772691492	1.4161484674863387	
AAH00442.2	-18.900677960071448	-1.418824405165544	5.406162776787016	3.1920552663248	0.5553770816712023	0.4580884899264999	-1.0609083305833502	-1.4447047949944765	-0.9309851288753909	0.5222013211184093	
AAC77369.1	-24.905242285773095	2.257333094160681	-0.631019588610366	1.5625479153126203	0.9080851826672798	1.8874419261382531	-1.1930111699187254	1.8842722369081957	-0.526474415326313	2.31226731810731	
NP_001690.2	7.756012164478787	-2.766896630942223	-2.7908353421278456	0.06604482784080747	0.19119173232571599	-4.715953797495564	-0.44425326206628063	-4.577816194813641	-2.3107594017375632	-0.9351642894674752	
NP_060063.2	-0.030988306424339727	-10.692587079656612	4.797485239226483	4.897375411544851	-1.3547153119532611	0.5141315941070868	-0.43949259736689755	-0.6213559647281219	-0.4057231370603113	1.1177419023512054	
NP_001706.2	-12.811564373174038	2.9871688316735616	2.2837857206310996	-0.378206172310395	-1.1417394369516147	-1.012827148657154	-2.2869219119927076	3.1239832716536546	0.4235114595512497	0.4443367214544954	
NP_004320.2	-10.333053692217735	2.2915413949312775	0.4319239938837079	6.732799135248615	1.8025450454813154	1.1840218463639234	1.1374216848430245	-0.5458077664155597	1.161769646764597	-0.8361178366856373	
NP_001194.1	-13.11588625665734	0.7708161847807253	1.0240091514046017	2.014487748232827	2.0752836005465767	-0.2699029675279361	3.412131314945435	-1.2291477334106657	2.716609423351472	0.4223020179476097	
