protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
NP_055726.3	41.9758086333792	-20.847591124142216	0.38066769991820326	-1.465205414968727	0.9128258617885838	-2.3183898861713645	-1.663750746899668	-0.8505521419834141	1.1937287716379203	-1.1180317722774167	
NP_005148.2	44.76405949480635	-7.53520174962613	-1.7719119956614517	-2.895969099553879	2.122182638047886	-0.6851054880141928	-2.0243898165300833	0.9549321525018061	0.5223359962366181	1.0950671723997434	
NP_005149.3	43.211629455934826	-8.669910265460322	1.108657354269284	-3.771829530450195	0.953392991469242	-0.43546014887930723	0.596132198274298	0.45094490607832	-1.7674988575281338	0.11968021159790503	
NP_001096.1	-18.13468628714348	-3.028461170249922	0.3592834342896489	-0.247377295640989	4.031985137177479	0.09304939888861938	1.813909225632055	-1.2814957189944107	-0.003584363924165448	1.1307456853533837	
NP_004293.1	-26.14681364924647	6.0062196028957375	-5.4402069359747065	-2.897169307921599	-0.8190644514127061	-1.1318185746732452	0.9112331828456607	0.6947556959983159	-1.5836679731373793	-1.2619123562039432	
NP_001607.1	-27.718828826142428	4.727846000669302	1.8600817566562435	0.3238887409734724	0.7222380340433	-2.1865159303982478	-0.2731331769254917	-0.3204485330241347	-1.9233599918509778	0.6159385977453402	
NP_001097.2	-17.83594996887002	-0.1399451279693452	4.157198640390877	-4.184694750701857	2.199797021579711	-1.0834030292708825	-0.09856651942967892	-0.4040502734307332	1.1065783620721825	-1.183927545545455	
NP_000011.1	-14.976591916950984	-8.174611583029051	2.1282244029152078	1.4665158340013855	5.458143219544663	0.7215374709743652	1.673867246759201	-0.7922324203019947	0.7869764696191113	2.140761732992991	
NP_064632.2	-9.638689417149376	0.6883911073358396	2.1329859795102357	1.4661160567429554	-2.3107141521101084	3.259715980486094	-2.8581056158706466	-0.9133184963431598	-1.0676476087998643	-0.42702878601642674	
NP_079152.3	-14.241235769393667	-1.6197910091502439	-4.063732320865815	-6.527090286250537	0.039840473944186085	1.589878878912727	0.5643610096525852	1.4250538034619267	0.3445538819197201	-1.4900824130793568	
NP_005154.2	-24.059111427086588	-4.133688481446767	-0.5799894733619806	0.4918140526745027	-2.1214508547396274	0.6903570109134269	-0.5245292387636744	1.0512430970443172	-1.336848122865008	-0.4227201279852747	
NP_001617.1	-30.327955090884792	6.01622071427703	2.139414672958232	3.6469899579447835	-1.3404239530130115	0.6649660035800317	-1.8972688611541864	1.7968373989315716	1.8979482134914312	1.0030600877539553	
NP_005456.1	-23.492356447024903	-2.960843699407863	-0.2711265869552595	2.760912003755685	-2.178405065689352	-0.26095352018252954	-1.5245522513197762	-0.1329532670436327	0.6730315772941435	-0.050164097200531735	
NP_004295.2	76.15694488727324	5.25228930368217	1.3231218387688521	-7.226156391074396	-1.438934059862816	4.301465897256382	-0.9748163146629386	-0.03128533842883214	2.167936160488109	0.6908947403066993	
BAA36547.1	-18.316081323465127	-3.577498923160528	2.3378235008539545	0.160613232306659	-0.12233058320740325	-1.4941425273737212	4.040810422693742	2.1853689379781978	0.06931504305259804	-0.944512622711731	
NP_006243.2	-17.81139340345755	2.511073707030856	-4.35742110573118	-1.3709982274201737	0.5856969496832526	1.1491269095989092	-0.40830953144070115	-0.3023177597858463	-0.9127660044380479	0.9873945675979946	
NP_848605.1	1.5816962841342854	3.9084892199129957	-2.4543841645454085	-3.6873541908619307	0.5965525812304543	-2.0189540712617453	-2.663947498357822	1.0750873350068946	0.7805599502617468	1.0024833722728914	
NP_055655.1	-9.966477393221247	2.6843648977577796	-1.8668511263405991	0.5069248544940778	0.9524016221007143	2.632254470326373	-0.517667970678061	0.5860800501122978	-2.2063374283965347	-1.45918841982557	
NP_005914.1	47.08154181502298	4.152433200983919	3.814123637104842	6.374260585731871	0.6483598177954281	1.6478263693135065	-2.340973545423349	1.7242702405243038	1.9137013495795923	-0.6118022588988253	
NP_004663.3	50.907910976216904	-6.429091915814485	1.358830069419968	5.916482851951936	3.5941005633449055	3.0337837654215707	0.8473339987951004	-0.39662115642731766	0.734449565788786	1.263820298735069	
NP_003591.2	-30.774367697584182	-4.297939144642267	0.9322348986932341	0.7143230743837453	0.7273317931445407	-0.8432225911746908	1.2340506757441754	0.3907140968121173	1.439359256387327	-0.18600038507062333	
AAH00442.2	-34.661632382653444	-0.633670332595016	-2.1259106371191154	-1.277802795374456	0.17032535099829563	-2.16610983410137	-0.3839016965072986	1.0084897079252646	1.296735347046614	-0.12403589286719396	
AAC77369.1	-45.66311418693978	4.194809428539075	-4.187897108409015	2.649516354749459	1.0823959940356327	-0.7271178492284849	-2.001636994310321	-0.9097751318614861	-0.006088213162931495	0.20857360987696902	
NP_001690.2	14.535154499009936	-1.8019454939629431	5.5657541698406146	-2.0319048443322725	0.37837952662957114	2.624129461831352	1.411187298474008	0.9828980023999396	-0.28666301073494793	-0.5118107525112796	
NP_060063.2	-6.688288509228242	-4.767325745739563	-0.17005222983875037	3.262171738367301	-4.942563194731092	-4.852561345705057	-0.1313916544534377	-1.2696869602096168	-0.9645020740469323	-0.10454722549026878	
NP_001706.2	-24.988145590948147	3.542109550293081	-2.5693470576012687	-2.7365398837026205	-1.6609935423029336	1.9499817782894908	-2.044683134183482	-0.30520743469332995	-0.9544351852315252	-0.23102664791262856	
NP_004320.2	-27.571015687113075	5.432748393935838	-6.7984124256782765	-2.5959185022816924	0.8624317594132668	-1.3519113440799797	1.672395179451591	2.1408569269740227	-0.02339695066878115	-0.4430828769039343	
NP_001194.1	-25.920005169292384	4.233013878878706	-6.661781357120705	-3.551568690442492	1.9133887053153709	0.4595979123158482	0.9934691918080545	0.035513927482130066	-0.65598451434358	0.5648090606200953	
NP_001195.2	31.228405492345512	-0.8269046328118205	-7.266196865530914	-3.2109340081449957	3.611596328873156	2.1644871716190655	-1.991505583883187	-2.0759451852898887	-0.365272871941531	0.35499894523401904	
NP_001712.1	-11.791336992725416	-1.3072419528027743	-4.869442211500859	-0.4108617783367916	-4.811785964572278	-1.212307196358894	1.2362553610131954	2.004721103678217	-1.8869591370898144	0.8373026559202383	
NP_004324.2	-2.08684199308549	7.457162108641065	4.17750370185343	-4.432373351332882	-4.400040639208978	2.229287434464705	-0.5110640103070435	0.9089521937119261	0.4747895757404304	0.6969976755306749	
NP_005966.1	-35.47255568190408	4.816324829622791	-2.6922862049740526	3.153772995598614	4.4388288791783435	1.6033898696633702	0.5929962390891048	2.1197420204272635	0.9631074484916831	1.0502421170261347	
NP_115806.1	10.332761003341652	-3.403460489848815	0.013643034214263364	-2.9774265248037737	1.5889125434961822	-2.3862466384825076	-1.3754652648255643	0.437529585760776	0.6499279896723626	-0.37885208206606097	
NP_003948.2	-3.347068373475155	-2.6045158615345416	11.744137669873302	-0.1130691361443803	0.573056239322874	2.5427531663341587	0.770859606572485	-0.27411454771195787	-2.1664300219591954	0.5380413563738989	
NP_000052.1	-12.520532104584113	1.425231972522793	4.111378521170641	2.3400759743099124	-5.7262917546520695	1.677079830482713	-2.0818054157300727	0.814495361117243	0.250674153124305	-0.4040576553442745	
NP_003647.1	-35.10308943438318	-1.7386534893710266	0.7684346289125263	2.097118675333929	1.7114010022058612	3.6820790975065316	0.6408185713663174	-0.5007267856429267	-2.389371044323687	-0.32837075962552204	
NP_065130.1	-32.64834263588629	-6.010057090245819	1.6912186735687154	0.48736423794097405	0.4661109891147376	0.7248886368864155	1.2510385968030049	1.3434720172775734	-0.7591475609051683	0.530846319138987	
NP_065172.1	-25.251021890301036	-1.8385566070110386	2.6019151623295014	3.7945636820704993	3.905494686428252	-0.7024306895804399	1.34800949487291	1.114084263456181	1.0836997667582653	1.709571188192681	
NP_741960.1	-26.13407626687991	1.064657016645054	0.21619508499287046	0.9759374230552357	2.1552742671793608	-0.13574785396936448	0.45021198523267125	-1.6170362661424966	-0.23060854882032839	-0.8996008954958441	
NP_001211.3	-7.529051424946388	-1.5470032786778716	-3.6967309797535766	-2.240952806192764	-1.4684388352918216	0.6013150744302701	1.668421120429893	-0.49203490592923294	2.3523287440559266	1.902135818585744	
AAD20442.1	-27.039004391773258	3.8948256872917053	-2.0057177601054637	-2.610539236491993	-1.525599604176629	0.24790841508923703	2.060055779438548	-2.4818158979920586	1.7847506836951867	0.5547781191730563	
NP_751913.1	-23.390149873128674	-0.22553229845373676	-1.3216644647296276	-2.247358019473975	-2.119352532659324	1.2726678320659757	1.1510736711601606	0.2868096408159716	1.9428151894305352	1.9109694284375986	
NP_001735.1	-22.36766497372809	-0.3509006639513679	0.8218435446327313	-2.094499993807768	1.152046738804125	-0.9700686302864657	-0.8649875526152425	-0.43635625378031223	0.3828651738249877	0.6431741729568715	
NP_115670.1	-22.19108564414615	0.048565075846509875	-0.4672677254487037	0.8889777302443862	2.078880467651772	0.7797034434137183	-0.10404045189437673	0.2068778398708393	-1.2298236480064642	0.40740510541892583	
NP_006540.3	-12.966694315242353	0.8775351755294927	1.5856071033407249	-2.5720814661218276	-0.16469463750734242	0.07757088846337842	-1.5894932108330673	-1.7077178117120435	0.013974636740149971	0.6868421248146784	
NP_003679.2	14.856622020022822	1.4806183170947131	-2.6571991323701063	-0.7778770468899501	-1.2265249882469846	1.9252055731519555	-0.4675035379941614	-1.239257485934661	-0.6396810503823619	1.1680161673527716	
NP_277023.1	10.961062600235902	-14.209612905493856	0.8752234814903379	2.0126396651522955	0.8000453854991462	2.66253047614116	-1.3628598818610722	-0.6960230920041295	0.25799376818692127	0.8430340368753457	
NP_076916.1	13.24422989382329	-9.068534747571173	-0.5912256497503758	-4.422383071173507	1.4057709543024537	1.017553547582921	0.5569772995102403	-0.5618269477139229	0.013712214680917498	0.6160734329519588	
NP_003709.3	93.39402549802666	-24.221409623932892	4.847312249722591	-4.004740407657654	0.2446441106966226	-0.6377641263101762	-0.09493593357614799	2.1820293121049046	0.6147749504425233	2.677938222504549	
NP_055891.1	-21.282919499240144	-5.532910737153686	3.8216532130976035	3.2646206652300767	-3.0387883353070935	3.2037321087425465	0.7090421264007346	-0.36309576096911395	-0.44287370227950906	-1.0486630968589519	
NP_001789.2	-40.29622375490936	1.213661991262187	2.632759525512237	0.31161606065555625	-0.8065907627739872	-0.49381724124486787	-1.1475439832608172	-0.254496103598049	-0.9007612431750508	-0.02448396378777904	
NP_001249.1	-37.9391856789659	-0.7285269298420868	0.5800736027276462	-0.4090294806658143	-0.03425048505366024	0.04381326365741358	-0.9643862222928038	-0.17655231689557419	-0.8640576363475164	-0.09354195244599756	
NP_000066.1	-35.78790408868512	-0.5780238077267978	-1.7796377412111601	-2.307759259690716	3.339571264570336	-1.4063786384821506	-0.44823911010542355	0.7986525330189468	1.10140422335374	0.3349561345476095	
NP_004926.1	-41.858471306947294	2.8451834878606004	-2.2747606254909836	-3.41553525384469	-0.9551885194402746	1.4410127874127856	-0.7058774403884426	0.2904594043491658	-1.373271536020164	-0.54247739114136	
NP_001790.1	-34.558500444966654	1.934852370787342	-0.25702846341397906	-2.809090453726451	1.3355861299966003	0.9580754702922492	-0.2784746403050182	0.12234923656875905	0.1945959386610409	-0.9016362395154647	
NP_001251.1	-26.93431098585033	-3.5142635410838525	4.426230962562083	4.140334636709392	-3.826937127852112	2.747266617573395	0.5921563636522578	-0.3690308070511104	-0.4568897019735957	-0.9624153303975542	
NP_001252.1	-39.506151115589525	5.255132284908816	3.291204427510335	1.0548260589345348	-1.4598889299299154	-0.32345442022520976	-0.754729624444819	-0.3699667524032735	1.0008013132664828	-0.8210869744126058	
NP_004187.2	-39.243990204879154	3.5253465075790023	2.0361149253799695	3.3874246456241024	0.8402407759087579	-1.0017044778446658	-1.014768169576861	-0.029002164777453997	-1.8979553701977783	-0.06285446572996901	
NP_003939.1	-22.085115877950575	0.09659007296118087	4.667806047791623	0.138837554584708	0.6689891114045695	0.5179037611937803	-0.09864839218616954	-0.4187413149129346	-2.004230180013308	-1.4863477264230505	
NP_001107047.1	-9.589639952433192	0.9228702911124763	5.482304608157903	-3.9980086705309836	0.5575576969085875	-1.3051375341036648	-0.16898473217008977	0.2027413747135143	0.6021258213775489	-0.026310273261197874	
NP_003150.1	36.041654718639904	-12.731685519104762	10.021453145708675	-1.266386422197755	-2.118806526895774	2.457082153284483	0.3177281902138221	2.641195473024682	-1.3804220873715516	0.13465252264155958	
NP_001265.2	-25.080513899262808	0.633601524440088	3.9949565662180677	2.7026499418996597	-2.48662851205557	-2.666329770322663	-0.2638563433274152	-2.3263097586550474	0.6540897401832427	0.21890324864307753	
NP_001005735.1	-17.106240125828933	1.4696614441352878	1.9271654196257202	3.048432794031034	2.0168666637089308	-2.6344822061168602	-0.20505311083233857	-0.09324285887307808	0.3654454179598601	0.36031174863422616	
NP_009105.1	113.63600083594173	7.945752134673329	-2.972640361368621	-2.5489827818493516	0.8509891411770462	0.6643397066814812	-1.0062815786850685	-1.896023713001567	1.0300471995192053	1.370899798793489	
AAA61480.1	-26.544465262562944	-4.930767835801475	0.060565313494508784	3.9670660988371504	-5.707085260608507	1.9299575115141374	0.8568337096931714	-0.18384582994785298	0.9162039201307239	0.2690253181405881	
NP_003984.2	-20.57472950462216	-6.095262239165439	-0.3283554724510637	1.6565566536398229	-2.0219535822881483	-0.6902557326121741	1.017930181109885	-0.7438572268323129	-1.9249212183474038	-0.010318137403219817	
NP_003983.2	-21.582960958577868	-8.329101820458423	-0.689969057094838	3.1141726837723462	-2.783386027335823	-1.0231165359781815	1.708171550342786	-0.6173093858601112	-0.7368233605067961	1.0703294968852342	
NP_065717.1	-29.307516761415066	3.4357740409398354	2.1952754460814172	1.7488134389932004	-2.157389318215139	2.063208774885681	-0.34162604659608564	-1.8524461990426708	0.7790456490017698	-1.5536345713078452	
NP_005202.2	18.337994113703537	3.9165504022926694	7.6920996006768	1.8930760998756757	1.0338286830412937	1.968389032109813	-0.9559055969389345	-2.3884032580519947	-0.22570811574401212	0.9484157805564183	
NP_004374.1	-25.51548858336834	-6.964528260549529	-5.850317718001202	-2.594767805660307	-1.5182458385071922	0.2973434751466154	3.799074705439669	0.4898980867386591	-0.7977269657503595	1.4465737498781752	
NP_001883.4	-39.249683369309274	3.431973655678881	4.696060452128621	1.4581597062951366	0.6351694308888487	0.8447927587943783	-0.9755788972836064	-0.006576915631545892	-0.3725730073340523	-0.10800799112368924	
