protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	
NP_055726.3	-41.68108550858378	-0.9278009341769433	2.428859346524087	8.869901108027982	31.371943543621853	8.897759803741518	8.45972008622245	8.04720891591955	14.00051704988996	1.6751037793667996	7.489851175186116	13.949645916431814	2.7365519100695175	-5.949995862026741	8.85715498696649	-6.487609612464768	-14.21708408706353	-8.121667718383385	9.159297571224432	-5.71045179212432	1.8930748170125136	1.689867267703687	4.598808400090882	-2.8128578609458583	2.119900572730453	-4.339085017545725	-1.2431221882492856	-5.269306380457834	-3.1133527590208243	3.506561961240663	-2.673852947213121	6.605964296179824	-0.6167757583439307	2.4167057052309557	-2.6721508352302674	3.7472966634428664	1.1905493756210928	7.0042949478252154	-5.067671244826548	-2.9976035292157457	
NP_005148.2	-41.04923007210068	-0.2974069868765753	-9.093785228141117	-8.967152760063476	-3.5413153952744203	3.7903541276364896	-4.438277767350256	2.1885795511188366	-1.3731091871280676	10.227135849357206	-2.8668169990545485	8.290393196551186	6.44816626516893	2.983983705720002	-0.851332509147928	5.8253310918993515	2.4315862296460775	-6.130419998289803	2.754335962281784	-4.922681299758776	-1.8506208404371431	4.231611063244676	3.754524839754971	1.7981038943317542	-1.6792115155546985	-2.734075101107845	-0.32106724217488286	-1.3452529369252713	1.481558625254254	-0.7536010534936353	2.2251730486127994	-1.764534115631513	1.0261074896257516	-1.7140842142582877	-2.0697003513654897	0.9304274173307192	-1.9892986701598883	0.20957351081893696	2.5035385707856164	2.3709748128616366	
NP_005149.3	-26.511704585266823	-6.2913009188737545	-6.374422500055318	-3.945055988399317	0.4423855245390986	2.636510805212466	-9.174773090390495	-0.5906068221409327	-1.966621540435583	9.849314071898261	-8.649995655666848	7.274788228799075	7.707553081202906	2.9604736675770216	-1.636865890965419	5.988824195123845	-1.5992295007525152	-4.233355385223642	5.163257809128172	-4.12800897567098	-5.1279949588047575	-1.7864419325177041	5.426405293472961	1.5484196172731584	-2.1667092128424614	-0.1870129921667786	0.9280719522814822	0.5607213179792382	-1.4147313890327273	0.5729489709288379	0.5833320226618188	-2.090885409182825	-0.49037849001777567	-2.522008838084155	-1.0975827162392873	2.7600138446259836	-1.6624466052810054	-0.8438789918504036	2.5651215635354334	1.2404024808068286	
NP_001096.1	8.920287171094285	-17.568765947576036	-6.959908067658439	-0.14499312751370802	-7.248785008545763	-4.486726706889507	-0.2770010664414698	2.3510421136977118	8.493825469312734	-0.9619815985613437	-0.9014427433441929	5.293959215759064	-4.771011292339993	9.818840942594488	1.55953228730043	-9.395118868322195	5.07266545781513	-3.6265894352179435	2.5714812761268466	2.176215358827209	-4.063408395741337	-4.822005675497404	-1.8743266561576677	-0.4761983585296769	1.9416092201521775	-0.5411758504584024	2.5683816335049436	-4.341641831131523	0.985001593814004	-1.3981108892747462	3.4893804569287763	2.4886954042022675	0.6273649099517321	-0.6580350611127005	4.569558489959392	-2.1466722803514777	-0.4042588792919963	0.4191647631962883	0.6358052587597883	-0.5163245675356559	
NP_004293.1	10.82438890879583	-31.704409909295954	-1.3180485110882207	-3.236966993675534	-6.257440086505129	3.450966536499798	-6.726215085358185	5.482873940005136	2.935447824922926	6.024007837843875	0.9245323870240771	4.278096456618861	0.6859675969298745	1.59066410533579	-4.043826668493341	-7.851355729554671	3.228826940613224	-1.5114785735680178	-1.351438737462845	0.6568613757573382	-5.26348849070764	-2.4900050058478316	-2.426791404683298	-2.132353598736468	0.49070657805314755	-1.6467675453408523	2.4663711862706985	-3.3063867723600886	-0.8431290966898942	-2.874818406048259	-0.004857524499285648	-0.5914303566326973	-0.11379761209005813	2.0229530882001794	-1.163124185520305	-3.3384477347800727	-1.8381349026790061	-0.1949425495293541	1.4651795495356834	-2.7962136225290615	
NP_001607.1	0.8715211706805799	-10.858184547461931	-8.579872003651186	-15.423742517604312	11.254236755335969	-12.548982835677279	6.711879263637947	9.323778232065607	-2.0355330132550455	-0.8377443412810466	-2.54014645801129	6.452500036370223	5.756082347180011	-3.0053479723353247	6.188473113354845	-0.04656888517705973	-7.554655632105208	-0.6581829221476814	-1.419850885878541	9.488653532780374	-2.6215841406527685	3.49939591247389	-1.1658171166512274	-1.1877278293086633	2.949972371921457	-7.08897617610444	2.656408691277903	3.4479858349779153	-3.276133921530735	3.5120699733621907	-2.022721441643257	-1.649954985413081	-4.292316310211227	-2.989836151451077	1.822768482309942	3.6515241174608573	3.8681710690221127	-0.5150742353283174	-0.39149456592869986	0.6708597338748522	
NP_001097.2	9.392824249257547	-12.926586892735749	-7.584652015340531	-8.330054092155654	0.22129755494371917	-6.440740657507111	-0.3371213748898909	5.202343906442789	-3.622015667943524	-10.438989318448245	-6.982050245781349	12.306202821982358	9.48434021055645	3.177696033718474	0.00838441322595646	1.0139120698669744	-10.429747611198854	-1.8728767495892267	0.43440352165835117	-3.0378152656136757	0.8751504841493721	3.8320650366681046	1.1890781804938457	2.2141333859511767	4.663591028097798	-5.547740940012848	3.5298565077972723	1.8108297807983034	-3.887138932523223	1.4692996798834597	2.717647609151953	-3.1324651035631885	1.4857606934377923	-2.938295645187463	-1.2657665676777445	1.5128982510587328	1.2273999767404056	-1.9887795904173216	-1.309023905490249	-1.6314512364225717	
NP_000011.1	19.070389599623923	-12.427461354551378	4.706601098810296	12.431543910000894	-10.261099681969364	0.8374867480031285	-0.08667180662730209	2.328146943044662	7.584555626526905	2.5371745750632404	5.020111587914341	-2.252338299028841	-0.9145728431618761	9.47677969219583	0.9719739984309259	-4.4144280243837235	7.476290346918757	-5.578070277105177	2.835835334087156	-1.5997134686083987	-5.764306521726143	-6.9350758010964055	-3.1382600985316045	-2.2026101751650504	0.3481328814063885	0.915726279779755	-1.0931784257422863	-3.246023710056285	2.495029485037072	-0.9654018361303577	3.0539830829728705	0.609526533813719	1.3886204009074314	-0.42125259799038217	3.8063386183089984	0.26151403325518285	0.8451297100354798	-1.3879520151335594	-1.0560663094326377	-2.942815100459977	
NP_064632.2	47.968270263292034	-14.563394705077444	12.872618166029026	10.592595146383971	-3.0255441597201953	3.99037521754624	-3.495958146487137	-4.7191472230468	-2.6531168468476998	-5.463998500319976	-1.4692772773047478	0.48877223015000215	-4.707472824140915	1.6209143538905284	0.46763942407481635	-6.256821631165398	3.5412319367114997	-2.2748093881584293	5.477066876319646	-1.8501210930431196	3.9903201762972818	5.393755280560877	0.5858654006000449	0.7083547465936717	2.5627243114469818	-6.017131363419574	2.5599593920204784	1.9583693161675568	3.047319910117352	-0.5861714664472633	0.6088850388111995	4.4284789309051815	-1.1250551503669897	-3.4083886888007777	1.091470887917313	-0.5903106911038947	0.6557864333039832	-0.8690969671024731	1.9860511076107015	-1.6009010172626388	
NP_079152.3	25.617048518664532	3.045015270902582	10.826156155270851	-7.78968827172281	-3.18344210859387	0.8523552291211332	4.315013595366939	9.39052561335635	-2.3331437790910514	-5.309012136321201	16.628963421206496	-4.645559806584131	-9.562354755401488	-10.043380663695672	-1.4350441644700367	-0.7566361147470488	7.5159500693939245	-8.119958374207826	4.0854541422935196	-0.7898111344957557	1.8659172450977213	1.5061455785881677	3.2571005541907523	-0.6152133693531802	-0.5448819991315805	-0.6935428959194806	3.010986563488365	-1.8883621760923746	2.3322863012650084	1.540474024922702	1.0424563429902947	0.9530371898837215	2.9331306836331725	-1.9013311801351598	3.5899717342180364	5.242509061744878	-1.444523333487765	0.042654673792118	-4.403342153634723	3.5057858080212223	
