protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	
NP_055726.3	0.08176302497244482	-0.030009528738878986	-0.011217304442103221	0.01545689736114319	-0.01795338578479208	-0.02645425487074963	2.8464200921721952e-05	0.0056661771959604645	-0.0033592677587715733	-0.0047750461563697355	-0.001129429614324274	-0.0007215412493351321	-0.004880022949372585	-0.000479694427259166	0.00015126838650251324	0.00553333321720024	-0.0022816840948485556	-0.0020160550301421306	-0.0024204308889643235	-0.0002472708024498129	-0.0029996813956624483	0.0016136484399843184	0.00017303424555011667	0.0018676318149244348	0.00029884276760300363	0.0004932742062273125	-0.00394172973699395	0.00292700220239627	-4.006066870377618e-05	-6.343759764466582e-05	-0.0022168023925811815	-0.0001458566759453003	-0.00400935346943722	-0.002500539264257012	0.0004061998820458219	-0.002155803034477945	-0.000666921041036698	0.003498541420583759	-0.004018951899587972	-0.0011455393610807026	
NP_005148.2	0.01842943474931251	-0.010243730128677245	0.0020431112188674214	0.003190111982173661	0.008560979886779913	0.002572634991668759	0.001585776329729277	-0.0021304273672879954	0.0037744716382555124	-0.00856809200702604	0.009803760794039688	0.0015703395019576942	-0.0036590318084155954	0.0011150402332505852	0.002080813053788301	0.0018076106778253628	0.003152212384071544	0.0006540776865813596	-0.005807594002463638	0.0022937058172027396	-0.0032450521975126087	-0.002747098546877382	-0.0026981009907782235	-0.0015109500769498324	0.003618891776006695	0.0010137059280859212	-0.004770259192870295	0.003211992548701378	-0.0007733303138063504	-0.0039054906269667725	0.0035649246464778536	0.0014379053106089732	0.002818501019435205	-0.0009735757235627367	-0.00017547368001446552	-0.0029515514937660213	-0.004460602566954915	-0.0022289942489869398	0.0012656741175767672	-0.001629232012438607	
NP_005149.3	0.025330729398474333	0.0017164304686860465	0.003153118216997154	-0.0027262169071958393	0.006423514695265405	5.0718752613710405e-05	0.0074565578146821325	-0.0035559638655767757	-0.0008859236842404585	-0.0110877282300198	0.007107520052269208	0.001837076445367409	-0.0004757419883547521	0.003743911030684214	0.003499156637625676	0.0047712636922731975	0.0004318580822295855	0.000716453491671147	0.0005296495740921974	0.0006531146414070884	-0.00772317437959973	0.002009068392466277	-0.0047893629358799475	-0.0015608333862549843	-0.004341437983351513	0.0018811306757353478	-0.00937693434700539	-0.001692225077555911	0.0004743500292411373	-0.0011410940063426751	0.0040830289022263135	0.005307140069724462	0.0010986031255866267	0.0003019369953722033	-0.0030875489033866358	-0.003121862209609901	-0.0014229281922161696	0.00166690805652982	-0.0026642660916035656	-0.00037153985110740856	
NP_001096.1	0.02497618681223332	0.010884467586322027	-0.011380477355489414	0.001587596588339336	0.00036249687887802723	0.0031799881350554325	0.0026333825730226637	0.0022169443368751695	0.0032567008954179372	0.006600485334560956	-0.0006184760644408461	0.008740137507260127	-0.0009355241482921369	0.0007919360442810372	0.0017349730717626736	0.0075665196980012036	0.004641977344118573	0.0019221591490627165	-0.0040208102319652965	-0.0041082696584736345	-0.002240309897936977	0.0008257762866381055	-0.0010235532126178337	0.0006644859269606113	-0.0011367198249647163	-0.004348286299955512	-0.007457813946681896	0.004647664843148693	0.005270207783444147	0.005865051851030934	-0.002030448831930518	0.0022849241657727933	-0.0001361989522698901	0.004022870057854587	0.005356893570085252	0.0014699012975306048	-0.002061417579901645	0.0063159548807193945	-0.0013398554778835724	0.008249986970315966	
NP_004293.1	-0.004830123672695842	0.04263255505037316	-0.005610575150955887	-0.002725107854150608	0.0028882966635070326	0.0033441590203811588	-0.0002522181848659608	0.01465735393901289	0.006198895889258468	0.007723220446648947	-0.0030402116193124855	-0.005453697193130013	-0.003356006534516693	0.006184948367559775	0.005757060507865836	0.00719581448555587	0.0022474190521251593	0.013411457168770895	-0.002507157879506523	-0.0010604379282088143	-0.0029219225451359004	-0.0014780144104675557	-0.002991268264217793	0.0007472885399458193	-0.0049309928027508575	-0.011497919643779395	-0.003351777635096645	-0.0019752932165188414	0.002719604674601166	0.011261903276674977	-0.0016739409923663313	0.005142095713618952	-0.003364940259633508	-0.001756676447304645	0.004753091926545939	0.0017429814679016512	-0.002744666244496061	0.005559474017169086	-0.002809662331331997	0.005943256082388521	
NP_001607.1	0.0032541233687569918	0.021483617980263218	-0.00957626317992122	-0.0001577992818813874	-0.005087157928566874	-0.004999708619940245	0.01283034707623213	0.011269053332220011	-0.0021183713483067745	0.0013931191718160967	-0.002206355696594453	0.0016177891553157938	-0.006228410577589671	0.003534777218002487	-0.006126031657806348	-0.0024784289680871044	-0.005871369999069051	-0.007666848468514382	0.0018205986711482343	0.0010699595293059317	-0.0030789909825794525	-0.0006746445935899723	0.0037090443874120424	0.004654822149931825	-0.002203717057824705	-0.005677060237957938	0.0062002825323000535	-0.001855908269163308	0.002340446498555739	-0.004972789145848619	-0.0008264968669792818	0.008233907741060226	-0.0015907308370934924	0.002048084238665115	0.002689526632036053	0.0009723738316792118	-0.005834361018604963	0.0037279801309040472	0.0017071099011878685	-0.0014697775047964605	
NP_001097.2	-0.0008252316246407639	0.01698226928166869	0.00390977703904881	-0.005195637658593759	-0.005830355355045813	-0.00920649330397794	0.016272609455647163	0.010520342438394253	-0.00887805457846433	0.0069086671204238	0.0023151533518326406	-0.0028253423400638107	-3.3091936365170986e-06	0.005825085702951102	-0.0013336695240255898	0.0016028781783697427	-0.008495914593908086	-0.009332339330559852	0.0017547768261103652	-0.00845677419158514	-0.00890035754543485	0.003959524625136099	0.007554397892392059	0.0009571791586936384	-0.001084160133232885	-0.006874135621807739	0.0030096647756332638	-0.0020393963398408605	-0.0040096026021211135	0.003788021557852314	-0.011760020385451752	0.004085562074205699	-0.003952681773108864	0.0038683537991919133	-0.0020068381243079293	-0.00027720606488465825	-0.0034798498933870077	0.001991883816756974	0.005119036057841027	0.007820682004386483	
NP_000011.1	0.015358014521123745	0.03622623020997704	-0.04020668477011008	0.00017091847767999708	0.007339458337565168	0.009398881219563527	0.002110857895762608	0.007236144776293853	-0.011575037770918815	-0.0013841353483567305	-0.007368181799950951	-0.00547817414060237	-0.0017401494076490765	-0.011462602964203482	-0.003574994921302268	0.009327566743611206	-0.0024771944580694867	0.004757785700572734	-8.944556714220703e-05	-0.007805323639050521	0.0009992224546743773	-0.0009475674406828584	3.329235886727494e-05	-0.00175700689899334	0.0068938388985104685	0.006225795039401337	-0.004768281030285938	0.003919785560116107	0.002266624205728413	0.0007010593557585517	-0.000614577293404207	-0.0051397387537778635	-0.00099768075193861	0.0023638609201059708	0.004355576648795221	0.00010176830346783583	-0.0010006741666303471	0.002096786682845675	-0.0024472920337137364	0.0034096182107459638	
NP_064632.2	-0.010378575165049253	0.033186175214872736	-0.013473159396767314	-0.009773879404804772	0.001206362721206806	0.0020455190250945002	-0.015141437178373504	-0.007933276666178565	0.007134752667236745	-0.005855709773798598	-0.01568575206308884	-0.0010550924661111853	0.007134177861902705	0.0031269326342933425	0.0013139340635894288	-0.006790822054058821	0.001614371144777322	0.0067696749191984065	-0.0021363809848828547	0.0022677295578827582	0.0030540110452905033	0.0016274644992012978	-0.0025686304348302024	-0.004823811007169161	0.0005174266006816014	0.0001760571684757166	-0.003636657388208647	0.0011367243203546154	0.0038048320644488397	0.0038321499027985234	0.003321081392280614	0.004356504990019495	0.0011678962997845068	0.002135493129111151	-0.0009177296608982996	0.002078485831949554	-0.0016384635135992373	0.0003764833656147158	0.0020459019768134337	-0.0021357679014197546	
NP_079152.3	0.002649567366429075	0.04473622992276436	0.001274063332621892	-0.0077575197436282875	0.007495431223917668	0.00041242954186160736	-0.004189364817012465	0.00024563257418043456	-0.0035023662228244367	-0.008018761255544094	-0.004152740227951875	-0.005911827565436966	0.0020207503206522612	0.00772059643970051	-0.005460540470583917	-0.007099064588714296	-0.00352968986408305	-0.0069899355412972606	-0.009934994916816214	-0.00826588783862212	0.0011082189925727879	-0.0009096387072823538	-0.0049066024773509204	0.0004995595851885553	-0.003672330084461602	0.006918145676865825	-0.0037420286516205744	0.0013376549780459521	0.0016136457466924758	-0.001979941189054839	-0.003343069167750746	-0.001013345521422951	0.01049450983416345	-0.004107206098618487	-0.0008992092771226425	-0.0017093760822378672	0.0024724363776394637	-0.004250491754466081	0.002571722139127713	-0.0012428295045590844	
