protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
NP_055726.3	8.852536843076912	16.21474897254249	-4.04863310115253	-2.20923568380638	-6.689086726663219	3.3285634622983613	-1.3608920555246764	-4.820859144992206	-0.9091117376690285	-1.1154013208843474	
NP_005148.2	22.138825087386067	9.046632317949975	1.0517545479654884	-0.4509005451352094	-6.235790463610474	0.4811117414499871	2.004167401061723	1.2687968950250754	0.5204082116397055	3.0303668966205795	
NP_005149.3	24.807314278065277	7.8093866725657515	-3.3251785919013876	1.1209720348970211	-2.3862202843120275	-2.3961713042958652	0.43125431186517554	1.8427783073572621	-1.0554470883829377	-0.9240062045057061	
NP_001096.1	-13.41728662503157	0.7411889161361592	-0.03999969243447656	1.025260580856117	1.2566260648922511	-1.227016453799318	-1.5965452625897643	-2.16213460606695	-0.14752262745466027	-3.2122130946547043	
NP_004293.1	-14.928430251033017	-7.374084544843155	-1.776213362204675	4.190523837071066	0.7457213219608055	-0.5379475645334467	2.8685815094511526	-0.03608728193019968	-2.252016922545367	-0.5649343081402465	
NP_001607.1	-16.013722949864004	-7.34629275508921	2.9695433135653833	-3.1883695370126155	0.7640050201278089	0.0021532455278018914	-1.153717674002827	-1.6094999075659142	0.30053223024809106	0.9403934272520544	
NP_001097.2	-11.51292738623668	0.01897132968902901	-4.809309744143754	-0.327027358114043	-0.9205522995882867	-1.247716679780669	-0.27307127296141737	0.006247518704382582	0.8115822500184273	-3.022994789417176	
NP_000011.1	-15.353268123920866	3.8269741912054913	1.4877153421826594	-3.652532977248628	-0.690339212057921	1.9256791657174135	-0.8874236181689319	-1.3289825970934037	-0.3484704546312996	-2.6524642282100603	
NP_064632.2	-4.568879040867294	5.944611749728582	0.28804093860697566	-2.531807894463249	1.6995195453461636	-0.8647615263079563	0.09826423568704591	0.9314952171968054	-0.7210741738834715	2.4615877830711916	
NP_079152.3	-12.153809799969736	4.48274877223959	-0.7390062408703043	1.4239642170410354	-2.4804440920124553	0.4970944865891906	0.8031549891092129	2.5205900671366233	0.4125039728888769	-3.5132293313169307	
NP_005154.2	-11.899083299239964	1.397557441997738	0.8689936630105765	-0.4362907635858223	2.426781135868917	-0.48637781263574836	0.9762268620469854	2.7136579591809156	-1.4328488198270775	-1.8284844275964518	
NP_001617.1	-16.465536372884902	-6.950075566452258	-2.1795068227088703	0.4133869272305232	-0.28245755999771216	-1.0794582460057578	-1.4013617355121413	1.1671040018742747	2.5563675714484506	0.5900778022997317	
NP_005456.1	-15.37977120048968	3.1344564066670526	-1.757545019102562	0.8687327728046094	0.6874787984979494	2.079023571034014	2.003311326835393	0.4864866773497109	2.126534174258855	-0.8703826599964568	
NP_004295.2	36.07792544446583	-1.0807604782654578	1.376188859830386	6.870608893727208	-9.258868779638938	-1.5268909057176214	-3.641974752987919	-5.1179081184798205	-1.1209964678151818	3.9253486247694274	
