protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	pc.41	pc.42	pc.43	pc.44	pc.45	pc.46	pc.47	pc.48	pc.49	pc.50	
NP_055726.3	0.03919382527657373	0.021630326602243177	-0.028883894237836587	-0.06218391709859412	0.02250338154271752	0.013565468748355678	0.05304269887994718	-0.0016245133513488527	0.01397917351899849	-0.0022917469132236815	0.005875892211084134	0.029628898345462933	-0.014840376239875636	-0.006637364292362376	0.0006408647083196662	-0.0002502230423628571	0.021313298706787914	-0.013409984228656214	0.015808518267509692	0.007782133923912456	0.01378234724452092	-0.001111106238821565	-0.014287659442201643	-0.009667546194634178	0.003803112177198135	-0.002968066223211567	-0.002216955936407594	-0.016397850329816624	-0.008007651053157079	-0.0006134864545850045	-0.010921874743263775	-0.0074138900539438566	0.008931677340171184	0.012831296711910174	0.00477287314895804	0.004447088067024706	-0.006771484233287839	0.011500310673635335	-0.015154016430281638	-0.006317338833130817	-0.01454521330324428	-0.004592525430057351	-8.938506686386419e-05	0.0007205691369052302	0.0016827959277850013	-0.0034454278033279806	0.0030319417650933977	0.0061779835240053345	-0.0037809662667721874	-0.0036585081763974743	
NP_005148.2	0.022955801296246803	0.032453082781298936	-0.0064520932863964195	-0.009951618118846286	-0.018363443341126745	-0.0008761546033140399	-0.011877828360404897	0.014358901726301419	0.007857277999414707	0.012948281109426345	-0.007811657788799386	-0.009257433648468656	-0.0016679036184219375	0.0011214875048356364	-0.001379365455944252	0.003552532431681068	0.004300058642220222	-0.0024578384093253644	-0.002037463395786644	0.0011073511607709386	-0.0027998334914203895	-0.005238486321271146	0.0032563861753214032	-0.002341669078526134	0.003968234625993561	0.006421675637921375	-0.001681238044743149	-0.0007590223093078155	0.0010903117402690172	-0.006353755899027489	-0.0009917785653905554	-0.0035421108726453937	0.0020759070321101514	0.00013953559315572775	-0.004724907041162151	0.00166953090610272	1.6786135726443547e-05	0.00347707264291903	0.0009236054306769202	0.001386594581138813	-0.0009439214755210501	-0.003232803956764009	0.009998823302969764	-0.0012945425434834007	-0.010610546918898699	-0.0016649797555603903	-0.003486887758485856	0.0009067341436366982	-0.006299918109192326	-0.004706511338548992	
NP_005149.3	0.022704505656280967	0.01831909608177708	-0.013200937092338378	-0.010782240504625644	-0.008579842584560664	-0.006149009866752217	-0.010668731804431975	0.00975980376292057	0.010067043191096924	0.01148000247750388	-0.005899439820244963	-0.007438913566659785	0.001098690238350893	-0.0031199967972416567	-0.0011514619046514712	0.0024832797565307696	0.0035978884833615336	-0.000503962530544169	0.0039612498038135375	0.00133636817958885	-0.0036100672986308854	-0.007074353481800513	0.0017732779435295043	-6.60791843901346e-05	0.0059454941127122865	0.0038863405395041977	-0.002970708079318797	0.00046322532192269396	0.0022512883515732243	-0.006650038096015647	0.0037160724662904047	-0.0006651923189456563	-0.00029135304496362874	-0.0028217735239801007	-0.0024557072348976717	-0.0003401913639850597	-0.003932612542205552	-0.00039270983550045456	0.0032728749430106013	-0.0011580794640071437	-0.002617417792872639	-0.0037035851121523136	0.005557389955998109	0.0022127191321867044	-0.00615289655297627	-0.004039211127154608	-0.0028664464659519545	0.0006499933529871254	-0.00621711074521211	-0.0017122571612822012	
NP_001096.1	-0.005152369351318064	-0.017309192157782163	-0.0300570358217432	0.010907881884239546	0.014392630531951445	-0.014356944068175743	-0.007008528608045243	-0.009858628688853538	0.0028464604256340444	-0.015402631610714148	0.004357672567913388	-0.005736447924140404	0.01779834272708847	0.011926004799089682	-0.003862147516177438	-0.003261415398573791	0.021389090748977577	-0.013386035475801117	-0.0035173027599541907	0.00047476409103886516	-0.0026225306541656328	-0.009947457674867544	-0.014186166143068623	0.018779215393491776	-0.020492537208316407	0.0032510217381904512	0.004822156479174431	-0.0030064092665051307	-0.012179730180710722	-0.005440965330740205	0.006097419611428916	-0.013520179052602275	-0.002217759870503609	0.0001610458262553661	-0.011882089831491261	-0.0055598216247709775	0.006366921047544218	-0.0039218652674599015	-0.007369872606076634	0.001609652928737782	-0.0034194782043747833	-0.0059704418588168275	-0.0010131291917444432	-0.008894029809849123	0.00990586599634693	-0.0006504683689435371	0.001006701925649094	-0.0011719076060395315	0.004459653910251747	-0.00025561703085475883	
NP_004293.1	0.00379379362222853	-0.023144604131954866	-0.019757852900395712	0.01919371419069365	0.001330386699238213	-0.0182630443272017	-0.002230071067099322	0.0040684799970914865	-0.004716473988035181	-0.015723494467812796	0.011594023995905423	-0.014121491465740283	0.008807907666293543	0.019174865045460125	-0.01406569208376958	0.006895725318049012	0.013596603931360309	-0.009015871869143013	-0.006093989352369151	-0.0006215532285839618	-0.0031299189310481984	-0.017993598841976453	-0.011128937367567832	0.016284955516348645	-0.028278481050953812	0.0059762571617522865	0.00754838982975161	-0.0013271697363485113	-0.01013162470710855	-0.009757006799933575	0.013011773943631856	-0.003309551676820205	0.004936572382627347	0.0035194461385564973	-0.01189191723943483	1.511852294729025e-05	0.00849283037571249	0.002044438215999691	-2.3900443945635094e-05	-0.006253571241844665	-0.011064108718113712	-0.010610407325675409	0.0002591544379724997	0.004770597330853629	0.002466181576589845	0.008868224737443727	-0.00555394447544621	0.0016295567654979115	0.01643346729590035	0.0030981163246194764	
NP_001607.1	-0.003921775846201839	-0.022982529101272246	-0.011575048565538622	-0.009671866570532263	-0.010340868589942582	-0.011867376443640273	-0.004799385055541554	-0.01211340748407979	-0.0028816206811866463	-0.009909863016886384	-0.006856788789164783	-0.006611312373011402	0.005294745876738996	0.016699273648297496	-0.011176943243735636	-0.00925494104374212	0.0008887956528601867	-0.014214129506738503	0.0004272788676433018	-0.0008148746946601804	-0.0007787981104047967	-0.013081678260482314	-7.6611859882631e-05	0.005896697964918329	-0.0007318658950201284	-0.002391465044445609	0.0012201953422875946	0.006820040575411674	-0.016213794004573963	-0.014967290318503905	0.008325300456532346	0.0007009995655511509	-0.005961409690039659	0.011684630396899064	-0.012445473103536227	0.006020642738987246	-0.004676633114012793	-0.008313058657775164	0.008718123478175408	-0.0013850603845241168	-0.0030982247428781454	-0.0045490962088701676	0.008766235526841151	0.0033660128869261725	0.013596463845229627	-0.01293425567060568	0.007587300623408389	0.017336576777066154	0.0034397364002495367	0.0005976624319689468	
NP_001097.2	0.01577995331265883	-0.02150162373179464	0.008031884253839845	0.002137975671091968	-0.0033827805546330827	-0.019911180544395217	-0.015382596656167088	-0.013721797905875207	0.0042115427001770045	-0.010280416408643052	-0.005241117304757111	-0.0004652234037107636	0.009282366032367977	0.011635769706066623	-0.009836601129274392	-0.005104940317923751	0.0032615071410131095	-0.01708934458070065	-0.0024262969501348663	0.00033017173000183587	-0.004193774363714261	-0.007326233534421995	-0.0007289983260473064	0.004794284859995687	-0.003750840646235401	0.008519591138589978	0.004922715988234024	0.008610744590408491	-0.01663906643780625	-0.015786559083532232	0.0006589692360265409	0.003944879796106217	-0.008788498126524364	0.005814374092989596	-0.013367991884382648	0.005980646361332954	-0.005050014140381317	-0.0015902782997703456	-0.003674696053101519	-0.001379238444362641	-0.0021139852491521157	-0.006890195734418734	0.010788819013103832	0.006985022876746153	0.007291155418937222	-0.01622253725332379	0.004247529638554558	0.01759086504110776	0.001962341865592226	-0.0016443189821793102	
NP_000011.1	0.027073529325133485	-0.02620631167925009	-0.005978337415173701	0.012537843396895258	0.019018693112400644	-0.01988875342554089	-0.004141815364499793	-0.006439376037271208	-0.0008034798394304788	-0.0182762906023434	0.0055294651035968576	-0.008200945004942457	0.02025483788004372	0.016604528169599363	-0.0003080894533222737	0.002058271886462338	0.02081143522514368	-0.011198041868883539	0.002053477519531691	-0.005312469613307613	-0.010247117819781552	-0.015764726522123435	-0.009989382958684394	0.019885323063473365	-0.02159170528231611	0.005993929681737102	0.004046779247006772	-0.0023466292113794272	-0.009907342597131904	-0.0061290496455449674	0.002624848959153544	-0.009070137340160192	-0.006082976985247651	0.0030554267521826703	-0.0167249611237239	-0.0007727075825431931	0.0024278911411530733	0.001177565838708959	-0.007014298470013679	-0.0029161289579973126	0.0015313362497968346	0.006112663200593176	0.0006897449040180153	-0.0073285793399540805	0.005834596115390332	0.0015575450940306962	-0.0012400067794746403	-0.005649287215039983	-0.007921914413518744	0.004238648953809089	
NP_064632.2	0.014078469594405096	-0.015489648558579669	0.011075558525033837	-0.006220664112988737	-0.0076630399644062935	-0.010920281250041419	0.02275642602188823	0.026059589807435894	-0.0001232583140995441	0.0012527179122239088	0.000590267531217822	-0.002099221062297845	-0.004595643451670539	0.0044763459456570965	-0.0014028850233971948	-0.0008482975219545111	-0.011139230244559643	0.009328002518848896	-0.00813462170399374	0.009810136634315432	-0.005464644336899968	0.00023803609867230192	0.0033014785205256205	-0.008581552413994508	-0.0005705140282973617	-0.001796096408018816	-0.008348783185680447	-0.012262256677506985	-0.015077019246697689	-0.0010116519605536806	0.004231058700679066	0.004273545807275696	-0.009276330832742947	0.0035503074241666354	-0.007782391612906326	-0.00016901252031649344	0.001458749641712747	0.0037325974226973383	0.005904610866750597	0.0029311405186803283	0.004712550744186393	0.007729626131267975	-0.006310348036105818	-0.004042448493489048	-0.008289422896714003	0.006448731795084131	0.015840405122875528	-0.0001685205446737117	0.0009654985022661661	-0.0038744833991771733	
NP_079152.3	0.047120134545216005	-0.025495667828281353	0.020361842066861695	0.0005163334847193175	0.00782685994565047	-0.01514109045190057	0.029510456547594197	0.024025980256668036	0.010620548682320948	-0.0019967916108555397	0.015280934964440199	-0.004955900500684062	-0.0002148860289445576	-0.0035410193375508383	0.0017705018980654788	-0.005386578604610039	0.004876051215920412	0.007311363994362946	-0.008301777161819828	0.004811662319943713	0.0024624223126234047	0.0025882773273166884	-0.000359824948093063	-0.004620589712609145	-0.0016510034522522418	-0.006583782234943983	-0.00836601577633535	-0.017483565659809346	-0.0061229867341305155	-0.0006184369149896679	-0.002199563222653767	-0.0018273991322381956	-0.008395415556527862	-0.00028763683964457264	-0.0040202280082459	-0.0055640968571841224	0.0019302374418616471	0.000746054307784814	0.007061035933758153	0.002739072249180066	0.0036954800229369554	0.009555372126497402	-0.009972492656399283	-0.0103418701333912	-0.00405373952151138	0.016399819086934397	0.010936684048031543	-0.0009359972828176242	-7.097091422043103e-05	-0.005907594352794909	
NP_005154.2	-0.031193686246187267	-0.01468444205449139	0.01634770108400145	0.006302309259468617	-0.03056082767087935	0.001314966285987276	0.006054270191232815	-9.861174708078318e-05	0.0033870601748442583	0.001880322697041525	-0.001261640198806254	0.03557099149060222	0.0030433090439910696	-0.02456481632710348	0.010262754970961754	-0.015836794096719602	-0.0159394494169138	0.0010128134915021992	-0.0020402960959154774	-0.01870880078934488	-0.02015882431434142	-0.007472601263951809	0.0019477075314086741	0.016758720776760695	0.006353043975497048	0.003064247390561997	0.0037855959974379674	0.000945100085521366	-0.01782039759181028	-0.01707462380583775	0.00037855060490113207	0.010109793573566256	0.04043586067315301	0.007195250529821081	0.009618085557438733	-0.003912024868160798	-0.0031783645768747354	0.0001268789054296104	0.011111400251665318	-0.016605408709590427	0.0029101326762362026	-0.002372932336964085	0.007713373760948199	-0.008661850590912106	-0.003823145611322408	-0.005645626589747403	-0.010749318111779094	0.0008750013571852792	-0.008574285394841372	-0.0026729268970279913	
NP_001617.1	-0.018080364798082768	-0.01831088266321595	0.011200215669347752	0.011965196431592386	-0.026017550369437686	0.0025296556587601085	0.006460797134854152	-0.000900835867444702	-8.532724922750074e-05	0.0018772647438004054	-0.0031934119477833116	0.03140307402961911	0.005155640540819768	-0.023147663263749448	0.01320296625083879	-0.020002028762527893	-0.017504019615634418	0.001348036143123378	0.002131126260534749	-0.01570620303425671	-0.014919009917740686	-0.009720529177622405	-0.00222116487657006	0.019484451815605743	0.0037808776321299445	0.004969882183535617	-0.0004333240723256067	0.003555377153003903	-0.01622834042226258	-0.012851268045189178	-0.003554354163782922	0.013327193253674378	0.042081736775129525	0.009957524045063774	0.01168290493740376	-0.004082421520751482	-0.00025796804457877515	0.0025348264606703903	0.01184768574928112	-0.015510108825219644	0.0007584692772440892	-5.7570456015584403e-05	0.0051228959761121995	-0.009793882342672715	0.0014425639150572093	-0.0075282200732689104	-0.00951846339918078	0.0076082513676827175	-0.006383665858330352	-0.004865461316908155	
NP_005456.1	-0.038663449678544966	-0.016969193117763258	0.002682664365197584	0.009587775814508304	-0.029150224712542704	0.009035898655011051	0.005038958191099216	-0.001963085929415527	0.0013007887029221823	-0.0022704938157308125	0.0008259848133438867	0.03135950592253136	0.005768611713527706	-0.01997292554994087	0.010501446820043373	-0.022430999091768582	-0.015292414421090667	0.003274384833194878	-0.0006424680107985863	-0.018366747045251246	-0.018177508519512216	-0.008665294254456429	-0.0027497510497599257	0.018165786475933948	0.005941244388075518	0.0017138117763823382	-0.0024721666522709894	-0.0005480166906545386	-0.011945425126414668	-0.015098971134532454	-0.007907438080156752	0.008344598890525823	0.039146227608699936	0.00860098987929265	0.01397022447499772	-0.0035621380032568894	-0.0048021139182333515	0.002335716813677421	0.006450384209906194	-0.01443831888760117	0.0023611376540983017	-0.0049409127600955555	0.004089038772393625	-0.007860672351944348	0.000740634500080994	-0.005080574602821701	-0.013909850377241762	0.0032560884273312557	-0.00583511229696798	-0.002446415201009843	
NP_004295.2	0.03780328996850257	0.004180946128347013	-0.01066334732204636	-0.0003850341549561786	-0.0006221276210332541	-0.0074846966376467625	-0.011341202417096604	0.00017031127985875103	0.021498001070558673	-0.004690053479245179	0.012655554058286033	-0.0007754560514280529	-0.005387131757522934	0.0032230524046938385	-0.007049600660577981	0.0062795238703937115	0.00064958568595026	0.0029149484358920435	-0.008686459503509963	0.0003720903304161134	-0.0029161748467595016	-0.006612177819613837	0.0022740003636183862	-0.010331328143375585	0.004205412234838927	0.0002118868220081646	-0.0012191127028234302	-0.0014751925153889765	-0.0009445697207190276	0.0011659494747268914	-0.0008745772941280187	0.007440089519682234	0.0032971206664798385	-0.00041719009269948926	6.222047496590798e-05	0.0014914341691840947	-0.004782656109104326	-0.002957290204300846	-0.001056132936411702	0.00022206581651647536	0.007000212739587	-0.0036042754491585173	0.0027338266694666596	-0.0025361095779592316	-0.0027601239543819196	0.0014326293232506614	0.003305772654684053	0.0017192098164552153	0.0008346435396876038	0.0028568885614779953	
