protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	
NP_055726.3	0.2904319449885031	0.07743033063716216	0.009509455416695739	-0.024127418466418003	0.03244404302417718	-0.030533832407439745	0.024215031261151748	0.03319518433138787	-0.011531100688617598	-4.249826635516458e-05	0.016453861167295955	-0.005299986723019192	0.013742432782083909	0.010845623229892997	0.002192193684529327	-0.003886679789884182	0.018626200412829485	-0.0019995602764457656	-0.013099736569391602	-0.006823254637532654	0.005093256272917684	-0.00581812329408777	0.0001966768242437893	-0.003224413236217624	0.004169696853493255	0.006973636685378085	0.0038052699942539834	-0.007813939151586465	0.0027071207985996126	0.004795367977349268	0.0012710824471228012	-0.0012642088638309457	0.008724862904587377	8.08109341412233e-05	0.007734965418332063	-0.009009449574001793	-0.003557926050794819	-0.0038510825129932018	-0.0006238617513035383	-0.01009834574385997	
NP_005148.2	0.06548452112635843	0.039797271450344986	0.009839418089745573	0.015225032302591751	-0.026908361513772683	-0.00947125492566718	-0.004330686077818691	-0.0033348597966489438	-0.010289562040256694	0.014763636272441637	0.005422201388495059	-0.023277920328534107	0.002931441225368387	0.002213322120803742	0.013678351555221032	-0.005283200967086951	0.006200399928860864	0.003424440291383697	-0.00753561782671443	-0.009948111854730502	0.004704230152276785	-0.008864849648187966	0.003787327710889556	0.005111013590694771	-0.009545917001423387	0.006710084975526577	-0.001753328897689499	0.000717018667823792	-0.006010998180938198	-0.00039457186226799537	0.004892669000223656	-0.00318328209807781	-0.0030905453824754134	0.004902592182616152	0.0011021799504573081	-0.001895102836876756	0.0031481276230676918	0.003695743964692957	-0.0021787940496493627	-0.006846381002322448	
NP_005149.3	0.09446061682197086	0.005444811096791402	0.007714799659906737	-0.0015334716891107756	-0.015043872630205065	-0.003373550035316881	-0.005186280969162737	-0.00032848325267401406	-0.012782659312528928	0.003560804562197695	-0.006271762826767541	-0.000963789927569551	-0.0027573016639261196	0.009353093357095499	0.002899098825660208	0.003692060759267888	0.00463071730215156	0.010268893635729111	3.3024118631276786e-05	-0.018142547680311774	0.0016155777781452472	-0.002885435120694409	-0.004823954850991638	0.006652721949122096	-0.009343425583268028	0.011223893930658965	-0.00897163327966102	-0.006055687414260095	-0.007814164474520793	0.0027014246526804934	0.007211562029125221	0.007038182113934529	-0.007429134302880557	-0.005912178582610684	0.006519985383998346	-0.00013145036327239364	0.0032173937569416194	0.006966738216979895	0.004338620315299734	-0.002135102441044629	
NP_001096.1	0.06151940276303051	-0.0443029616887255	-0.0107972088106718	0.006820233367019934	0.017141854876690274	0.013733479309496885	-0.013217419587342268	-0.0032883251374911907	-0.025543551083668743	0.012631530212348783	-0.008544520136699443	0.010900255765088053	-0.010634067675748206	0.008853498140329572	0.015781802165793366	0.029587714170298696	0.007946316490983958	0.009300195628740036	-0.002718770837843153	0.0063869603337054414	0.008092372432283093	0.007561477806316986	0.00443010889170955	-0.007947157970826176	0.0023470489459417555	-0.007639428199148713	-0.015317696757463493	0.00215767072719472	0.008396584762138287	-0.006809417985465717	0.011233515622576667	0.0015875085707032933	-0.0017782985443602626	-0.0010990208196865901	0.002821790261122799	-0.010150608360705754	-0.00767044438548027	-0.01126322833386717	0.0012254932259268899	0.0015810426045334055	
NP_004293.1	-0.028923777097388866	-0.13169832151823005	-0.0103119768686791	0.019664362791113884	0.038231394428737624	0.023115765922980647	0.01057127039923406	-0.0014414580496493132	-0.021596757948794756	0.029084572991075534	-0.019073273685980507	-0.001693375248698414	-0.004784199554097119	-0.0111623755456105	-0.0028426014716554896	0.0286960581945294	0.0020072711148775794	-0.006360470568145562	-0.005888438288687068	0.007831029964391396	0.006180706626908442	0.0043787305504170496	0.0033768164856092385	0.009661766760436095	0.008232173447118366	-0.01157819481925734	-0.002510403285263678	0.011986323419353689	0.008892073228010555	-0.0024313945497464293	-0.0032602110606078103	-0.015527009284866323	-0.002499734760658634	0.0059493008508942	-0.002121483771590969	0.005024636225614938	-0.008933434426291912	-0.0034677648293361526	0.006632943957835257	0.002152429671655215	
NP_001607.1	-0.01827956468270468	-0.061771480848763355	-0.007776046893185115	-0.028413401640004755	0.03179720978125481	-0.0023718425814763526	-0.0007057631250176954	0.010729541827956242	-0.006118559802846956	0.03768043467617243	-0.025030811648111745	-0.004763243727373329	-0.01667391248224452	-0.0016492662559648172	0.0028036980815741882	0.011804168721504337	0.0006419919180691729	0.018803022434558093	0.01403859508315875	-0.020533226139417816	0.005119692395591605	-0.0024662734458602833	-0.007456373449995501	0.0056845851037495764	-0.012539127708103955	-0.0004330967246755818	0.009746087220436428	-0.013114538045195794	-0.006490817591701335	0.0009850621183344866	-0.011194999961411482	0.025080519121908385	-0.00064789475984698	-0.010746893657492994	-0.009608371814735561	0.006879564605322405	-0.003075123097294071	-0.0020432667840611703	-0.002053174342095868	-0.014998308628060703	
NP_001097.2	-0.02859380593123003	-0.044845603462671656	0.003059949992679951	-0.03336269045215904	0.007051078277169021	0.01056240430597061	0.012639011770686498	-0.009961881960081844	-0.01209985046396513	0.02861836219529128	-0.020238179127379487	-0.010507827010251903	-0.006167782332988387	-0.003372800092600908	-0.002523282543379819	0.027996824464432375	-0.0030391833512332404	0.030430568980001935	0.005070162854235348	-0.0071238018024958405	-0.003669734057020158	-0.0004672913078677605	0.00601575397820788	0.014097428184159459	-0.013333425604561024	0.010641248194010355	0.01667895607846144	-0.003040511873979533	-0.001024934212545674	-0.003336638987617373	-0.02066931101004543	0.03079773774363454	0.014445732347468503	-0.01340821057017448	0.0073930551549151605	0.0052579641223170605	0.00919708027239803	0.0029546214240997602	-0.003505357061094636	-0.01143444201265016	
NP_000011.1	0.042156137831557694	-0.08281473562972477	0.016931388034274245	0.045915142064286575	0.04706033139673987	0.010339349249270711	-0.015591000503907661	-0.010363539504581184	-0.04298008864591522	0.011354294559090271	-0.009453852020810758	-0.01361158032781877	-0.012059765716016118	0.004493412166228924	0.0009051046810780994	0.01950728348426268	0.001592794783886119	0.013421356843132976	0.0067812131276223245	-0.014104962344809027	0.010080084753975472	0.027158226076510122	0.015039515221173057	0.0035086650081298915	-0.0018879653202906455	0.008672048057890484	0.008754917259132898	-0.002599207456718189	-0.018356924960720916	0.0017440639015385514	0.010513139186402756	-0.007819485404528686	0.0006185160653091108	0.004004711893641531	-0.009584680958252934	-0.0033652152539216493	0.005010980982731453	0.0032001401220105967	0.01055267133139222	0.003292580307785902	
NP_064632.2	-0.04757803259362548	-0.10628872045406473	-0.0015057056738122035	0.013696437443278177	0.02856791565216364	0.014373318242490243	-0.005140162595283395	-0.009565415559284883	0.00015467975000735276	-0.018729727951393934	0.005107055151388996	-0.013607763302357544	-0.0035114693709911993	-0.01632444320395442	-0.00017029096944272211	-0.003197028824168748	-0.00830812739588402	-0.0007403218983430379	-0.002015097832584223	-0.0017342395630574245	-0.00039484376625611094	0.04002238739181402	0.00618817373378227	-0.01051344190856988	-0.008113133588621016	-0.021483932684717825	0.003159527412233777	0.0025312133044426053	-0.018506545479925748	-0.00015959453909136396	0.008361826552446208	-0.0007619959283139114	0.005793987429659749	0.002125984648895538	-0.012536402503618295	-0.00011815913045243949	-0.007428890720658964	-0.0071117850166346475	0.0006827982343553399	0.009468058837999886	
NP_079152.3	0.0008979586362802135	-0.13148167791874518	0.0015817367045803054	0.010712237994397569	0.007829101386356327	0.0067786574659780465	-0.01896063110136394	0.0014052331696958146	0.0013568582554720487	-0.025433476127948357	-0.02001635667678148	-0.01997633724363474	-0.00313545826398705	-0.02265687558078617	-0.025950692988711523	-0.014984692499256675	0.0057821573921224495	0.015879955608517037	-0.004906079921244976	-0.00300605406258887	-0.008225934151535622	0.027282862873131013	-0.006822893609059069	0.003258075810256486	0.004143585664153503	0.00448602937253291	0.015429615584454671	0.004330507802585743	-0.0181815684204469	0.0012010482705003965	0.01254610165990806	0.014323551134399832	0.015115233193888467	-0.002706322789455837	0.005248469094166789	-0.006725729341137466	0.009030143417169498	-0.01581859937098704	0.011606099101289536	-0.0005106193016783375	
