protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	
NP_055726.3	-0.13250512802163927	0.22585329906765675	-0.09414193300551443	-0.1139544089434854	0.045992258501745584	0.015068684238260924	-0.005200439710998192	0.027965047503791276	-0.02572783117822247	-0.0028098101771081223	0.019728850142592406	0.02873268356014257	0.021357869330585325	-0.008943480856251202	-0.016486211514451742	0.021923034457219083	0.009687569859256924	0.004176710414924158	0.003137266349579233	8.96173468906956e-16	
NP_005148.2	-0.13528523478633944	0.24004195576487902	0.016414355701719688	0.032205613610559854	-0.020855017668401487	0.012703897541892488	0.006387110053021179	-0.009951532962784438	-0.02761192507689781	-0.007532345773039281	0.0017013351370391465	-0.006754651267207004	0.000427291477517559	0.0069853307222578235	0.01434777172298636	-0.00562465087829156	-0.0030523413814338824	-0.0008333908014311282	-0.003001521698000253	6.799197017941176e-16	
NP_005149.3	-0.16802362014878824	0.1535487439354652	-0.010956124493120587	0.01639932817626543	-0.018024236721913656	0.029602597123428796	0.01140323064519654	-0.00916750401074813	-0.027746402201356456	-0.0010930608590996127	0.0052481381060018656	-0.014866839300203123	-0.002561767846081892	0.0009736120073409056	0.010313237275878897	-0.0001217855832760771	-0.0031047223111658204	-0.0002449149013347904	-0.003138937074241112	7.058905840033348e-16	
NP_001096.1	-0.0464738583255601	-0.1385784796392319	-0.07859752219374834	-0.02017724149054752	-0.05721109777833636	0.0021617626234251967	0.025835013704033623	0.008798367161401742	0.022943378809651725	-0.022299197627966182	-0.004623916866567115	-0.006404531944271931	0.0018285938731814023	-0.009303660388186185	-0.0034791323120978795	0.009446843736361756	-0.006232651456454148	0.004850168448853702	0.0010014635355663165	6.744598140207768e-16	
NP_004293.1	-0.0813648205851146	-0.20349598631210944	0.026389830432426552	0.008974245811212127	-0.06414141107759122	0.0114161757747171	0.003253485194951395	0.010263359853786966	0.021539121881198532	-0.0028346255766573424	-0.005718080441465242	-0.00021027046015208956	0.0011009573853797729	0.001209953342571533	0.0028945733287414083	-0.0029121703446277265	-0.006795439980671938	-0.0032719286439465713	0.003746610363740046	6.71440141357935e-16	
NP_001607.1	-0.034579155451995046	-0.16650588049835163	-0.010565655900666887	0.001876583740275199	-0.033982490744797776	0.0051044974598388766	0.034315112814948374	0.006198167282982386	-0.009796357305390031	0.009906269660407349	-0.004451439536517309	0.01812668508663079	-0.008940612516225653	-0.008923844745815578	0.011715417763917735	-0.00019733614662518196	-0.0030239067211395663	-0.0008023465877230867	0.0002197452863234123	6.680840887090491e-16	
NP_001097.2	-0.05701253680408101	-0.11228065594572734	0.008883008354844648	-0.03126726827993532	-0.016955449756554265	-0.011743671184150074	0.01560187736935251	0.015301988292312881	0.0007549766249634342	0.012159703438340943	-0.011862271773248568	0.007596584418667214	-0.01917823501177133	5.210097729574488e-05	0.018040679821307592	-0.00066912301752252	-0.00739427087450113	0.005451389368141779	-0.0019712225100760646	6.962296569158664e-16	
NP_000011.1	-0.09760727403879342	-0.10625084179196853	0.02202374089912101	-0.03572740167592952	-0.036956977032718705	0.01962473543765383	0.020417747932062868	0.026433518501030113	0.019489878251779127	-0.013420226270016796	-0.008614537879962208	-0.009723178430804037	-0.004786094375108035	0.0012966066454820112	-0.003913404553763014	0.0047685926361266595	-0.00920848869306972	0.008000507129499661	0.0011008426894309107	6.687113629827386e-16	
NP_064632.2	-0.044670407237647126	-0.0395895439379323	0.12676684772474808	-0.007904025693995474	-0.030086824218097556	0.002452098448950489	-0.011561071294313757	0.008184302665367916	-0.006849052783512783	-0.010014156820794099	0.021324381298228424	0.025120940342819018	-0.005581641250049322	-0.006193893306092839	-0.00773240389048151	-0.010947181123357234	0.015669870074224178	-0.009820456118475752	-0.0029281452274934265	6.987811956062336e-16	
NP_079152.3	-0.12035116804478478	-0.0168520204610217	0.1336966303555615	-0.06024140128616354	-0.07621781962417151	-0.03654845986370213	-0.03252939034042409	0.019430923152894977	0.006566070491753067	-0.021441259652101485	0.01370291074903544	0.022534763619078396	0.011350615294191582	-0.017698399105156602	-0.0031269064065896396	0.008150630565525374	0.003950190007175861	0.002759293261912996	0.0017208654937180567	6.689952122349698e-16	
