protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	pc.41	pc.42	pc.43	pc.44	pc.45	pc.46	pc.47	pc.48	pc.49	pc.50	pc.51	pc.52	pc.53	pc.54	pc.55	pc.56	pc.57	pc.58	pc.59	pc.60	pc.61	pc.62	pc.63	pc.64	pc.65	pc.66	pc.67	pc.68	pc.69	pc.70	pc.71	pc.72	pc.73	pc.74	pc.75	pc.76	pc.77	pc.78	pc.79	pc.80	pc.81	pc.82	pc.83	pc.84	pc.85	pc.86	pc.87	pc.88	pc.89	pc.90	pc.91	pc.92	pc.93	pc.94	pc.95	pc.96	pc.97	pc.98	pc.99	pc.100	
NP_055726.3	-0.005745876532715786	0.004662698153859426	0.00031190106885220823	0.0015432000914102177	0.002375403917448518	0.004661803407503068	-0.001252733416383302	-0.004324499051322714	0.010366559494698786	-0.00787445524884063	0.0035759688464643965	0.01134752689883365	0.007490140588934544	0.006398162162724076	0.005927325137231291	-0.004131426752021727	0.003385868372814578	-0.011561245681024495	0.0043785728509182775	-0.0012739099223540097	-0.0028411907598820626	0.0018832720101605103	-0.005643820403290939	-0.002714416800732028	-0.0008923813499738883	0.00766132623379758	-0.0015459846787226762	-0.0031283083795335827	0.0006918739667886737	0.0027785872669803913	-0.0028573262565196084	-0.002433801804613481	-0.0003195647735413647	-0.002006305765818018	-0.004060001310583137	0.0012504667256144058	0.002465637883482993	0.0015293060043081882	0.0017313406664993289	-0.0029316713289721397	0.00570531308361837	4.293431197904555e-05	-0.0021666165420049276	-0.00023554435473137323	0.003065973684566338	-0.0002803628863092085	0.0008188579822313283	0.0006529938136527538	-0.00047074998787397985	0.0001820765030249606	9.196700111317959e-05	0.0004812208251066409	0.0009835984049225068	0.0009165531814174268	-0.0023128076845374454	-0.0005091875936051411	-0.0007639496062198215	-0.001237723372900184	0.0010378571821962235	-0.0004492301106604747	-0.0007010016887995333	-6.999090394528687e-05	0.0008907342001691079	-0.0006260208637608789	0.0016538247247180967	0.0008447136557270783	3.3481118080953495e-06	-0.0011169012112110192	0.0005645841731678869	0.0008951118185694419	0.00067567914034756	0.0004888699538831478	-0.0002781467528079977	-0.001103900207223208	0.0008790626153511692	0.00012634502667552104	2.171314011494579e-05	-0.0026644491432206937	-0.0004605171682576287	0.001581731764453466	7.697748101086951e-05	-0.0007590607876572238	0.00038212378698942637	0.0012442686001254385	-0.0011620156251125906	-0.0006795509002250451	1.5862866822892627e-05	0.0011935000595882058	0.0011695125704887753	0.002541744509528633	-0.0003795760294423044	-0.0003395334926973036	-0.0014562836033979944	-0.0005837485837276357	0.0006041459962504442	0.00011001914988525692	-0.0006305150856730328	0.0005706029217817986	0.0016615540206204578	-0.0009051572181696868	
NP_005148.2	-0.004040180786879263	0.002006231034016128	-0.0008057971629995453	0.00019495915492255276	0.001248074306651807	-0.0006615019196622565	4.668726171455541e-05	-0.0007390134422257002	-0.0003501464402315047	-0.0012572342029332356	-0.0009408554661274524	0.0005371436923254434	-0.00021689982494210326	-0.002171929482483385	0.00015291196362226059	0.0002443624379017039	0.0005183706594961969	0.00012709950721481267	-0.000936566657396175	-0.0006515957120623266	0.0011712054770604164	-3.0043834495426313e-05	-0.00023914914384164763	-0.00022558205066902689	0.00032390242060488636	-0.0007743472994450238	0.0013558268902992532	0.0008872562901738661	-0.0017402739281677253	0.00014275880871518295	0.0011806908307074111	-0.0015277486167636096	0.001348300497639255	-0.0018769453548548	-0.0014286849905647304	-0.0013516708254950962	0.0015895639317085402	0.0007590335228398941	-0.0010853149111655688	0.0003954069401581591	6.712173744958014e-05	-0.000516760612113571	-0.0004912162356291446	0.003115975493794606	0.00031021869651218497	0.0002590001882174312	-0.0015904767048556484	0.0011095553916740909	0.0006893130105349716	-0.00038568849158043464	0.00041242619510490865	1.9187002303034392e-05	0.00019108098612958987	4.6692207782643053e-05	3.063153400087496e-06	-0.0022779888670030847	-0.0014339621076298731	0.0007309629908939025	-8.551332940980815e-05	0.0006029159923528255	-0.0009346593229369455	0.0002592226932864065	-0.0014106236104906944	-0.00045103784065292834	-0.0005162802383952687	-0.001285129746263758	-0.001095501269859876	0.00048605664587070215	-0.0001700321331088482	-0.0009335908198621998	0.000314035101412003	-0.00019635018770422483	0.0003075339246989594	0.001655325154172293	-0.00039087885321278275	-7.749023479760165e-06	-0.0010970640257912745	-0.0002155884444897651	-4.9203413815894017e-05	0.0001021555057491073	-0.0005529911269953444	-8.680277542107995e-05	-0.0001319114386078704	-0.0010513303706184882	-0.0010646891681598475	-0.0018408189133615458	-0.00027372005384435863	0.0015622241715803253	-9.862370492369494e-05	0.0015237278096863708	0.003365525849924101	-0.0016904916822790754	0.00012357225032356595	0.00017329949812893588	-0.0012539894883625796	-0.0007734542875662716	-0.0012057704755763536	-0.000995467336704317	-0.0012246614149253056	-2.9479888503479314e-05	
NP_005149.3	-0.004760912564397557	0.0022395395521164502	0.00016792409216661943	-0.0009833134502554147	0.0010688462782265792	-0.0012548572630851926	0.0003470500505743747	-0.0006349793749977558	0.0010454156846737377	-0.0012813260494985827	9.59449189576046e-05	0.0016883555424835198	-0.0001722681171803518	-0.002552437921685889	-8.542553681285121e-05	-0.00023350992698766647	0.0006086062535493455	0.0012496636774850798	0.0002018150451253239	-0.0007002942849006377	-0.00019983669012288335	-0.0004857177609254776	-0.0010550487825486865	0.00010446610312194252	0.0004464374970321524	-0.0006127363156057653	0.0015190965415153052	0.000835303826754631	-0.0012041742421239844	-0.0010385569274932657	0.0006653423149725571	-0.0008894881826159298	0.0006470412994947319	-0.001347025805302094	-0.0016252195076523228	-0.0022373972552462693	0.0018766167699474777	0.00048547216498704803	-0.00032580163137633557	-0.00043354295919528145	0.00037776953031995393	-0.00012235329919006187	0.00018246994932470675	0.002409853473622977	-0.0006939648593136507	0.0007997643504140563	-0.0007874613105947975	0.0004639031014562832	0.00018926830124596985	-0.001241612290683174	0.0005360696679047349	-0.00014716134698467343	-0.001064696670802184	0.0002975755383656739	3.0559788257991144e-05	-0.0016518204113034627	-0.001472157450249267	0.0011821810670756747	-0.002276078708721385	5.068812149444053e-05	-0.0009222174743811849	0.0005569253557136038	-0.0014439811390812574	-0.0003668191066469383	0.0003820171827746902	-0.0013251514349154553	-0.0012557778438413293	0.00023878138796482037	0.00022921338276136015	-0.0004996776519950572	1.6899319418145628e-06	0.000733385373879288	-0.00027085222867980407	0.000556186593771273	0.0004061954370277224	-0.0011992961880421084	-0.0016380929572170353	-0.0011506567167945023	-0.0003412107478475442	-1.872182056612553e-05	-0.0005245373604615282	-0.0012919173508236805	-0.001220239806530128	-0.0001787148866453948	0.000346591042288923	-0.0018221148142617866	-0.00207541485772261	0.0001813690939597229	0.00039364680904146185	0.0009154920496688327	0.001919984359478478	-0.0006673049474551333	0.0005281325319649958	-0.00010076833983600345	-0.0016058815819525287	-0.0003562369530578592	-0.002903968302793152	0.0001293705095290312	-3.9883010357025734e-05	-0.002884153062390594	
NP_001096.1	-0.0020482778556629	-0.0011490539955842328	-0.0002410963284285327	-0.006366635874923907	-0.0005971005175748395	-0.0007626310154304958	-0.0038434629793710207	-0.004440047057418994	0.004215253963474421	0.0059853999650680495	0.005632414172927539	-0.0018912650932663955	-0.007160694385984823	0.006200532130343751	-0.003467412538046666	-0.0032157139982609954	-0.001929271126275533	-0.002580330901015461	0.010430121594682065	-0.011516319584868507	0.004177156144027456	-0.002441190588022699	0.0038386027411703386	-0.001842005305852906	-0.0037123183690181993	-0.0002327827764014394	0.0024005791702490058	0.001303505736383675	-0.0008664718967886489	-0.002143412094130577	0.0006934569112773189	0.0012085726840211303	-0.002539992403161693	0.00239432841903009	-0.0019310809157203573	0.000403753248801461	0.0007655014952918913	-0.0017004006574864706	0.0004747356196050295	-0.003408792757847472	-0.0008534717580980913	0.001271111516985296	-0.0015677881159868617	0.0017908210543424144	0.0016326087450025276	-0.0015449045251908048	-0.0007018490901061268	0.001988403473786599	0.0016673178766141408	-0.003377597899158058	0.0030892102242730695	-0.0016993171116386414	0.0022151823598578996	0.00015591114893308676	0.0014023350359084863	0.0011080644865114212	0.0029131880801839794	0.001246353774146388	5.0868478363348046e-05	-0.00030602831664736595	0.0002793935459418677	-0.0021194599686552586	-0.0011646500939399452	0.0013356439129249271	0.00014401841862318187	-0.00029915843641259367	7.857876433625555e-05	-0.0038821529682456354	0.00014915891929549006	0.0011549474650339603	0.003941516687213828	-0.0001867549210345653	0.002550052042879469	0.0031451472502975132	0.0007121857322038053	0.0008006782346298109	-0.004104652511686857	-0.0014138343782472364	0.004041476852679639	0.0026195251535785094	-0.0010692430884193232	0.0009508466366228795	0.00024236953656818334	-0.00631716155310923	-0.0001385691216871321	-0.0021633854074180124	-0.001011221775986652	0.0036590848395503368	-0.0005741111161154607	-0.007064378143135726	-0.0004611564947229201	0.0037486742445940447	-0.0005714001947926996	-0.00036299504664469957	-0.004156224046275914	-3.615382917131148e-05	-0.0005958382534189909	0.0021221155864436358	0.002526266270543713	0.00041210318545767394	
NP_004293.1	-0.004142022129901227	-0.0009648028766161667	-0.00014981672612110122	-0.006804734957275106	-0.0019763953895109744	0.0003372221374414543	-0.0034251756996953467	-0.003635493255037276	0.004268380812129136	0.005525342833187663	0.005754022254235132	-0.0014488005323911818	-0.008767998343570945	0.010119181233657267	-0.0025893216136878513	-0.0017077982460595306	-0.002660401264065021	-0.00046502122955616366	0.0120733912971032	-0.011716412252946085	0.007321518131621409	-0.0016680526402924004	0.004171413709708306	-0.0034925647794987434	-0.004213595559340487	-0.0005953271286286374	0.0019616680113923265	0.0010454336180664961	-0.00222385806948872	-0.0036179963625794535	0.000601956051545139	0.00041669785852338926	-0.0037123501969318962	0.0018280672492094459	0.0017996417820764542	-0.0008706816165139493	0.0011251730104744396	-0.0008788718240173624	-0.00012444023445010505	-0.00252033973581862	-0.0003532768016676473	0.0011912671071887633	-0.0025065658544407418	-0.0002704324974891267	0.0007095371433694549	0.003625744067356714	-0.0012125201571301372	-0.0013818271041041888	0.0037268235753753444	0.0005555344065652461	0.00353703443033642	-0.0023945519202619656	-0.003019194029300434	0.0008961676907676279	-0.0005439887570370433	0.0014694371976713828	-0.0022080524170495297	-0.00017949796128085565	0.0029112355294843447	0.004140936188641581	0.0025018818868387423	-2.326048730292599e-05	-0.001795738871210611	-0.0016125225937220768	-0.00356720846379911	0.001501929972290455	0.003770729825720282	0.003104960787001294	0.00012285645789489379	0.005343688125417175	-0.0047996968655575605	-0.000836728142314761	-0.0016803327256197207	-0.003912540795913171	0.0021884055975063253	0.0006712396183391567	-0.0019172460885227098	0.0018730813668051893	0.00016222152485386235	-0.0011623562929300984	0.0016476876740205882	0.005053638218232044	0.002779697241852774	-0.000861240811082611	-0.003471311417513224	0.0025058317898007847	-0.0027040024345865265	-0.0017102028674753076	-0.0028186103440989547	0.003999447526705994	-0.0055436349506239515	-0.0017015582623402068	0.002347111273619456	-0.00010803463623442567	-0.00215508069891799	0.00029224171164295116	-0.0013790744036937942	-0.0009559122888192511	-0.003666054262373415	-0.004405517692375113	
NP_001607.1	-0.0011998763447657308	-0.0008146511158147695	0.00010980342222821424	-0.003618623060567551	1.0011387246750882e-05	-0.0008621940181538601	-0.001537162093861763	-0.0013714713626705674	-9.056335075794163e-05	0.0010668724030882086	0.0028760589333732146	-0.0011908137339668493	-0.0027321613202487536	0.003113059238394946	0.0007057457488415179	-0.0002807809256271382	-0.002417105436449826	-0.002490636568296996	0.005315505102712449	-0.0033386934779194976	0.003992401721410163	-0.0013586673238969945	0.001285565730239098	0.0010246100528402964	0.0006486241562554423	-0.004657182639275936	0.002213800927412247	3.005935953380918e-05	0.0007402795950835452	0.005699189497587856	0.0023772586812492134	0.0021906794746473254	0.001660544058203961	-0.004492894122532909	0.0002871476928719694	-0.0014964859658684194	-0.0015094055583321012	0.00044760524667314145	-0.001260887201825087	-0.0020489527922757426	0.00036235367266766256	0.0028111838748404966	0.006413056161167549	-0.0003758698579248961	-0.002590958667931382	0.002261754087181927	0.004346591094111668	0.0009408024804425582	-0.00238105572498906	-0.00338042296083959	-0.0055342378581355305	-0.0017846998857390807	0.005531238220832395	0.007638800241335784	0.0061680804889362815	0.0015160098852624098	0.008618956559363697	-0.008332091090292764	0.0026524757527392204	-0.0068375892313552655	0.0019454905374711464	0.009202303320292904	0.003929750767177359	0.0009150723100897168	-0.0028556282285403045	-0.004065731589931764	-0.009141399573699444	-0.0021677569388494997	0.00036182039844569067	-0.004317265577814809	0.00011202477749516554	0.0011950957087900765	-0.006109577048748502	0.004162215563684728	0.0011651497877422313	-0.0032980551701083556	-0.004075907827742278	-0.004583617741017163	-0.0014280277498379941	0.003397301351480645	0.0009950265193367836	0.002649174935478689	-0.004465138640596287	0.00234557732568918	0.0008242219888766009	0.0005981469302929965	0.0025079795831851113	-0.00016467824637840934	-0.0022966708659406428	0.002486415142868394	-0.002055077544660977	0.004836719628302056	-0.002168084854979124	1.805749506486463e-06	0.0030098215516857884	-0.0001848714270035683	0.0004961420379179538	-0.0012183658091297898	0.000206078252629776	0.00013023169389192753	
NP_001097.2	-0.0030413881995754732	0.002109640994203089	-0.0009873419458609582	-0.0027151608725921395	0.00014827740179627249	-0.00027686489849441064	-0.0013504375503103096	0.0004487982905537465	-0.003188885852180359	0.0010949539183701276	0.0028689101284682652	-0.001670019310026699	-0.0033216071171601265	0.003351406355149177	-0.0013069526214352179	-0.0010125200852392597	-0.004549370845455492	-0.0016192515904529762	0.0055576319841030165	-0.0034856796551094226	0.0037638226553709454	-0.0006807507590251446	-0.0003103601871045976	0.001275242371218334	-0.00023126355885120912	-0.002110717685142961	0.0035477826249579202	-0.0011244132956961445	0.0006062200056621941	0.0037666956657353085	0.001741775642867261	0.0026431570168475695	-0.00020731970048783893	-0.004090307316722102	-0.0004789233262728189	-0.0015731573715102281	-0.003301252942165026	0.0007568050594046618	-0.0023033086078106187	-0.004280478612907589	0.001069150812035238	0.003165883516199794	0.006750065094326676	0.00025723383317959844	-0.0028844164581636198	0.0035332027498914814	0.0035203050974332677	-0.00012122482282248681	-0.0016292547378885338	-0.002713742355316774	-0.004833570531571274	-0.0032063919929278743	0.004164442439103981	0.006645329427562287	0.0035369513303766804	-0.001456285712394099	0.00864167394425031	-0.009312235713075698	0.002399959400957271	-0.007103673391663284	0.0025905523672405464	0.008685536636399462	0.0031578736588020817	8.70105812295368e-05	-0.006045743216037626	-0.004355284868136677	-0.008878919812719207	-0.0025371939078300677	0.002714686922147793	-0.00555580582179759	-0.001761451146571491	0.004297387590693032	-0.004492753901444921	0.0027918776013448787	0.0032547079338382007	-0.0052458406942685765	-0.0045915888503691325	-0.004233735440641387	-0.0006972359859201429	0.003609869094601626	-0.0001457082496837857	0.003539419205506225	-0.0036540172302183616	0.003241730506738835	-0.0013625824653596412	-0.0005429958798132871	0.0011049887017793932	-0.0005033571267361149	-0.0012708164624434881	-0.0011486773390943746	-0.004348871907493657	0.0029150541863784975	-0.000983077034157839	0.0021106077119124544	0.0012992956914126856	-0.000865128358215813	-2.0373453881731793e-05	-0.0033037482145005484	0.0002585391136508987	-0.0009917403542089945	
NP_000011.1	-0.004223778250850186	0.0011582975157197624	-6.127038504086867e-05	-0.0057512268006047	-0.0026799286158443888	0.00013705423313239534	-0.0015077537041972256	-0.002428534492504892	0.002288689561061927	0.007903262781092872	0.00559130408175071	-0.003632576702737315	-0.005817137261419764	0.008569421578037792	-0.002447882356609636	-0.0038296043725702185	-0.002891471432225665	-0.0007047040381398845	0.009681941581979162	-0.009859825334445984	0.005582238857603225	-0.0003805535317300525	0.0006207477518926685	-0.0021104281331104182	-0.0022526670046873875	0.0015817221074244919	0.00254344228662904	0.0010664884302277252	0.00035461054025162647	0.0008118240214463558	0.0025624896650102923	-0.0004016861972141543	-0.0017800778413842575	-4.1619223981078655e-05	-0.001961507043097059	0.003612548900211362	-0.00278562631109809	-0.00196013416372422	-0.0011349694562771703	-0.0025163824469592697	0.0005741793755618575	0.0018284337865717734	-0.0023604295979679723	0.0018525809167226892	0.002277218372859121	-0.003386349696670423	-0.0020443536739729834	0.0007676098896940135	0.002919831165387167	0.0005334494775671371	0.0011103824070243069	-0.0007093239157345675	-0.0008661914640767969	0.0008390251880188394	0.0010378808577012912	-0.00246238844794991	0.001823619053127134	0.0019163188974039447	0.0025433848396149016	0.0021426396774221496	0.003731102146447569	-0.0008065290271358338	-0.0031483212203790036	0.003462980009293849	-0.0023813056986203857	0.001364113554211819	0.0020071848240203324	-0.006981572651412287	0.0002757628258604866	-0.0003946021892030515	0.005371113970514044	-0.0017329312315355983	0.002590479086472853	0.005630366442424208	0.001811644251920663	-0.0015790479506479183	-0.003043132680443959	-0.004941669109764683	0.0031733129975308125	-0.000491705956412434	-0.00048567463342167515	0.0007602546367006722	0.00042519362968913805	-0.008199795142669912	-0.0005368423342607584	-0.0034571906030293202	0.0037826520336729365	0.0048827737217884476	0.00017944535659484065	-0.005973818098638661	-0.002090390836060335	0.0011147131219940171	0.003361178311342669	0.0028788279821670877	-0.001045802551348711	0.0030392041301371396	-0.000480557654680468	0.006635574237569525	0.0024783245262077515	0.0013024517028036684	
NP_064632.2	-0.0011935772495903331	0.0005328501803813485	0.0005674240058541068	-5.172092133662934e-05	-0.0016721272439468651	-0.00011556864600739244	0.0005454944341077176	0.001184860254284274	0.002632285011803367	0.00027933103758417233	0.002798357968582486	-0.002649954316827727	0.0006187251792865377	0.0005127508051921403	0.00022467683263342959	0.000729773907088555	0.00021222792274441018	0.0022066211337834363	-0.0008708770176388988	0.0006394392488339528	-8.82021459491681e-05	-0.0014027792943175205	-0.0008361728952750248	-0.0006751191970601775	0.0021478417739526274	0.00011739390090059064	0.00022033855374537252	-0.0007998066911864296	-0.00023227711690960954	0.0006755400965802004	-0.0006123769211341864	0.0006404807938051646	0.0009391758534164077	-0.000172379550829405	-0.0006875971266073795	0.0020361398020027786	0.0016284182342378834	-0.0019028064927724875	-0.0007938938447034558	-0.0010138947850582725	0.0009344774282070109	0.0028240801783545057	-0.0007120949865614255	-0.0002242947063556653	-0.0032958530617088672	0.0019347403799055433	0.0001749896128364467	0.0015546913165044732	0.004215513879004034	-0.000830502026388011	0.00013433568309611642	-0.00039064217141705207	-0.0013376903518373437	-0.000708351027985215	0.00040919270789814587	0.00014124606794109395	0.0022070465287039364	0.001449949962187383	-0.0011320186483380506	0.0021403478151578	0.004109703140932802	-0.0021776954597295985	-0.0005796263696023205	-0.00024168220240936215	0.0030556567192796666	0.00047909230934568484	0.0017303942730798306	0.0035670688997113094	-0.002179575506304775	-0.0032955093103504045	-0.001220238781576187	0.0021005895017971255	-0.004002407732086149	0.0011071247339458946	-0.00015294657025446528	0.005538118837407353	0.0008919407181065441	-0.0037339609863064325	0.0006118943788883673	0.0029748368427583013	0.0019496682877191388	0.00037144058639137974	0.0010163330299071123	-0.004034383081494503	-0.002363225420288996	0.004636592619425893	0.004402905566060305	9.383958788632204e-05	-0.0033486434151838093	0.0013492522611350112	0.0008996125654382302	0.002050353085743575	-0.003268670207033498	-0.00029525528921826014	-0.00488162906439295	0.0022446783925162738	-0.0017987744517326018	0.00025346300118148183	0.00011748416143639972	0.004348093072868177	
NP_079152.3	-0.0036632828513151233	0.0044807216583254775	0.0010792326730309288	0.00032544973123881625	-0.001504695625303292	0.0005672834699613685	0.0005895110833559272	0.004022286539259247	0.0013662958090657636	0.0012678688369175068	0.002850513848928482	-0.003726947009649183	0.0013974684499592862	0.004642698298103153	0.0005895132937774918	-4.56564866568259e-05	-0.0004800667750877362	0.0021655403963662407	-0.0004907842234948659	-0.0004192560598181037	0.0015545277967171044	0.0014802376355058328	-0.003222377993134269	-0.0014372215597558957	0.0009893714103121724	0.0014097012642980836	0.002352645866139567	0.0004722180350591738	-0.0011277893393526809	-0.00013600079202630034	0.0011034352841049644	-0.0018379804461038207	-0.00046430528775301963	0.0018648591654921727	-0.0009192055934281249	0.0028203268184932187	-5.314305404067774e-05	-0.0012945425492802178	-0.003127768340203638	0.0015806617122628383	0.0021349290509342696	0.0014277292950494143	-0.0017458606234566716	-0.0024388518857356278	-0.0037539779557852764	0.0023520106426715894	0.002822148350914876	-6.972631244416845e-05	0.0058078504115553365	-0.002523568754710222	-0.000708637196904163	0.003597173607896663	-0.003176123322599812	-0.001220962230297358	-0.001963462921316507	0.004584466528253844	0.0021993459986018615	0.0030228966124193346	-0.0037627854479802512	0.0009542236288268124	0.005691504155631074	-0.0023447678127607448	-0.003009150075723662	-0.002371336339429826	0.0031690052782152975	0.00036640376010102944	0.0023661789552970143	0.006257327380718005	-0.00356398730702621	-0.0049725552355815135	-0.0029696554988021605	0.0016127548452133606	-0.0023710546254005174	0.0032068098361049697	0.002815948847323344	0.007707672224575749	0.0038746155158010365	-0.002600000618558567	4.750475506508628e-05	0.004454251641923684	0.00640924339475198	-0.0028107028326270047	0.0013579827821066754	-0.004191669541845086	-0.00490762345536616	0.004329064668460508	0.004813030302475629	0.0012427674096120965	-0.004100891698988206	0.00642373259378192	-0.0007875238958070467	0.004534237838166252	-0.0070208221777494735	-0.001864047748110574	-0.006589496758545271	0.002120800417009192	-0.0027392345316366415	-0.00118326284928153	-0.0036942191052320174	0.002667247302140992	
